site,event,timestamp
site_2,detected unregistered RF6X5U5VC31UN8TL,2024-07-23 13:45:36:569
site_2,detected unregistered J7Z05804I53EZQ2E,2024-07-23 13:45:44:988
site_2,detected unregistered RF6X5U5VC31UN8TL,2024-07-23 13:45:44:988
site_4,detected unregistered JQ6YFN5ZH087LG3X,2024-07-23 13:45:47:020
site_2,registered RF6X5U5VC31UN8TL,2024-07-23 13:45:50:833
site_4,detected unregistered JQ6YFN5ZH087LG3X,2024-07-23 13:45:52:635
site_2,detected unregistered J7Z05804I53EZQ2E,2024-07-23 13:45:53:388
site_2,registered J7Z05804I53EZQ2E,2024-07-23 13:45:59:193
site_4,registered JQ6YFN5ZH087LG3X,2024-07-23 13:46:01:198
site_4,OLT not responding,2024-07-23 13:46:42:244
site_4,OLT up,2024-07-23 13:46:42:709
site_1,detected unregistered WSSVD12MWAUFM1M5,2024-07-23 13:47:07:245
site_1,detected unregistered WSSVD12MWAUFM1M5,2024-07-23 13:47:13:047
site_1,registered WSSVD12MWAUFM1M5,2024-07-23 13:47:21:895
site_3,detected unregistered AS2F5JHKAYE1Y5TB,2024-07-23 13:47:24:484
site_3,detected unregistered AS2F5JHKAYE1Y5TB,2024-07-23 13:47:30:144
site_3,detected unregistered AS2F5JHKAYE1Y5TB,2024-07-23 13:47:35:712
site_3,registered AS2F5JHKAYE1Y5TB,2024-07-23 13:47:38:749
site_2,detected unregistered CGCA1VDB51EC489V,2024-07-23 13:47:46:056
site_3,detected unregistered 3DU0RH3Q05F960B7,2024-07-23 13:47:46:881
site_3,detected unregistered 3DU0RH3Q05F960B7,2024-07-23 13:47:52:470
site_2,detected unregistered CGCA1VDB51EC489V,2024-07-23 13:47:54:512
site_2,registered CGCA1VDB51EC489V,2024-07-23 13:48:00:331
site_3,registered 3DU0RH3Q05F960B7,2024-07-23 13:48:00:909
site_2,detected unregistered M27AZ9I8HEK0U463,2024-07-23 13:48:19:773
site_2,detected unregistered M27AZ9I8HEK0U463,2024-07-23 13:48:29:114
site_2,registered M27AZ9I8HEK0U463,2024-07-23 13:48:34:774
site_2,detected unregistered JZQVKQKKOM48PH5S,2024-07-23 13:48:46:472
site_2,detected unregistered JZQVKQKKOM48PH5S,2024-07-23 13:48:54:915
site_2,registered JZQVKQKKOM48PH5S,2024-07-23 13:49:00:484
site_3,detected unregistered KK0ZT7071NYY10IW,2024-07-23 13:49:33:449
site_3,detected unregistered KK0ZT7071NYY10IW,2024-07-23 13:49:39:081
