site,event,timestamp
site_1,detected unregistered PHMI8MPWXG2EUCIV,2024-07-23 16:02:50:928
site_1,detected unregistered PHMI8MPWXG2EUCIV,2024-07-23 16:02:56:681
site_1,registered PHMI8MPWXG2EUCIV,2024-07-23 16:03:06:547
site_4,detected unregistered F5XQX9JZ86MVTEVO,2024-07-23 16:03:17:939
site_4,detected unregistered F5XQX9JZ86MVTEVO,2024-07-23 16:03:23:457
site_1,detected unregistered 7WG0IGJ9ZTHDPUJE,2024-07-23 16:03:24:914
site_2,detected unregistered 5EZ4X5JXDW1ZDG3E,2024-07-23 16:03:26:712
site_1,detected unregistered 7WG0IGJ9ZTHDPUJE,2024-07-23 16:03:30:559
site_4,registered F5XQX9JZ86MVTEVO,2024-07-23 16:03:32:313
site_2,detected unregistered 5EZ4X5JXDW1ZDG3E,2024-07-23 16:03:35:225
site_1,registered 7WG0IGJ9ZTHDPUJE,2024-07-23 16:03:39:069
site_2,registered 5EZ4X5JXDW1ZDG3E,2024-07-23 16:03:41:134
site_2,detected unregistered VOUHTRI5YUE7IH40,2024-07-23 16:03:44:140
site_4,detected unregistered DIZ9G6G348ESIOMS,2024-07-23 16:03:46:375
site_4,detected unregistered DIZ9G6G348ESIOMS,2024-07-23 16:03:51:931
site_2,detected unregistered VOUHTRI5YUE7IH40,2024-07-23 16:03:52:775
site_4,detected unregistered DIZ9G6G348ESIOMS,2024-07-23 16:03:57:518
site_2,registered VOUHTRI5YUE7IH40,2024-07-23 16:03:58:340
site_1,detected unregistered 500AULALIQFUTRJT,2024-07-23 16:03:59:021
site_4,registered DIZ9G6G348ESIOMS,2024-07-23 16:04:00:488
site_1,detected unregistered 500AULALIQFUTRJT,2024-07-23 16:04:04:595
site_1,detected unregistered 500AULALIQFUTRJT,2024-07-23 16:04:10:159
site_3,detected unregistered KK0ZT7071NYY10IW,2024-07-23 16:04:10:542
site_1,registered 500AULALIQFUTRJT,2024-07-23 16:04:13:098
site_3,detected unregistered KK0ZT7071NYY10IW,2024-07-23 16:04:16:122
site_3,registered KK0ZT7071NYY10IW,2024-07-23 16:04:24:743
site_3,detected unregistered KXSYCFTCFNDKL1O1,2024-07-23 16:05:23:557
site_3,detected unregistered KXSYCFTCFNDKL1O1,2024-07-23 16:05:29:225
site_3,registered KXSYCFTCFNDKL1O1,2024-07-23 16:05:37:547
site_3,OLT not responding,2024-07-23 16:06:08:045
site_3,OLT up,2024-07-23 16:06:08:876
site_3,detected unregistered 3LZW4Q1MMRX05PSH,2024-07-23 16:06:33:297
site_3,registered 3LZW4Q1MMRX05PSH,2024-07-23 16:06:33:313
site_3,OLT not responding,2024-07-23 16:06:33:319
site_3,OLT up,2024-07-23 16:06:42:072
site_2,detected unregistered CL4O726MLJJ7NK93,2024-07-23 16:07:32:562
site_2,detected unregistered CL4O726MLJJ7NK93,2024-07-23 16:07:41:265
site_1,detected unregistered YTBSNMH40EZOANXL,2024-07-23 16:07:43:948
site_2,registered CL4O726MLJJ7NK93,2024-07-23 16:07:46:796
site_1,detected unregistered YTBSNMH40EZOANXL,2024-07-23 16:07:49:610
site_1,registered YTBSNMH40EZOANXL,2024-07-23 16:07:58:018
site_4,detected unregistered 3UDS73S2YL7C8JON,2024-07-23 16:08:09:701
site_4,detected unregistered 3UDS73S2YL7C8JON,2024-07-23 16:08:15:342
site_4,registered 3UDS73S2YL7C8JON,2024-07-23 16:08:23:775
site_4,detected unregistered FK7XLDNT34F3QOKI,2024-07-23 16:08:37:704
site_4,detected unregistered FK7XLDNT34F3QOKI,2024-07-23 16:08:43:292
site_3,detected unregistered 8ZL431PELV8WXWKN,2024-07-23 16:08:47:882
site_4,registered FK7XLDNT34F3QOKI,2024-07-23 16:08:51:726
site_3,detected unregistered 8ZL431PELV8WXWKN,2024-07-23 16:08:53:480
site_3,detected unregistered 8ZL431PELV8WXWKN,2024-07-23 16:08:59:144
site_3,registered 8ZL431PELV8WXWKN,2024-07-23 16:09:01:981
site_1,OLT not responding,2024-07-23 16:09:13:029
site_1,OLT up,2024-07-23 16:09:13:559
site_2,detected unregistered 3LEGLJNFW6H07I29,2024-07-23 16:09:48:093
site_2,detected unregistered 3LEGLJNFW6H07I29,2024-07-23 16:09:56:595
site_2,registered 3LEGLJNFW6H07I29,2024-07-23 16:10:02:283
