site,event,timestamp
site_3,detected unregistered NGJ6IBTV0UI06J9G,2024-07-23 12:26:13:560
site_3,detected unregistered NGJ6IBTV0UI06J9G,2024-07-23 12:26:19:207
site_3,registered NGJ6IBTV0UI06J9G,2024-07-23 12:26:27:841
site_3,detected unregistered D97Q406C18V4NNNE,2024-07-23 12:27:05:094
site_3,detected unregistered D97Q406C18V4NNNE,2024-07-23 12:27:10:788
site_3,registered D97Q406C18V4NNNE,2024-07-23 12:27:19:170
site_3,detected unregistered BAG488P1MF3A7SQG,2024-07-23 12:27:22:254
site_3,detected unregistered BAG488P1MF3A7SQG,2024-07-23 12:27:27:941
site_3,registered BAG488P1MF3A7SQG,2024-07-23 12:27:36:504
site_2,detected unregistered GOD8B2GL7DF5J3HD,2024-07-23 12:27:43:468
site_3,detected unregistered 17XVTWP24EB2R3R0,2024-07-23 12:27:45:127
site_3,detected unregistered 17XVTWP24EB2R3R0,2024-07-23 12:27:50:955
site_2,detected unregistered GOD8B2GL7DF5J3HD,2024-07-23 12:27:52:464
site_2,registered GOD8B2GL7DF5J3HD,2024-07-23 12:27:53:487
site_3,registered 17XVTWP24EB2R3R0,2024-07-23 12:27:59:194
site_2,OLT not responding,2024-07-23 12:28:02:855
site_2,OLT up,2024-07-23 12:28:05:999
site_1,detected unregistered O4BKNW75NTV9SK6C,2024-07-23 12:28:18:427
site_3,detected unregistered T8MFGIVZC665VIOO,2024-07-23 12:28:18:982
site_1,detected unregistered O4BKNW75NTV9SK6C,2024-07-23 12:28:24:011
site_3,detected unregistered T8MFGIVZC665VIOO,2024-07-23 12:28:24:605
site_3,detected unregistered T8MFGIVZC665VIOO,2024-07-23 12:28:30:138
site_1,registered O4BKNW75NTV9SK6C,2024-07-23 12:28:32:659
site_3,registered T8MFGIVZC665VIOO,2024-07-23 12:28:33:098
site_3,detected unregistered IF8NLWHKHLIDT3ZU,2024-07-23 12:28:41:389
site_3,detected unregistered IF8NLWHKHLIDT3ZU,2024-07-23 12:28:46:988
site_3,registered IF8NLWHKHLIDT3ZU,2024-07-23 12:28:55:482
site_3,detected unregistered UGDDIEGC08X3G5C8,2024-07-23 12:28:58:377
site_3,detected unregistered UGDDIEGC08X3G5C8,2024-07-23 12:29:04:107
site_3,registered UGDDIEGC08X3G5C8,2024-07-23 12:29:12:535
site_1,detected unregistered 5MX22S0OKFQ81R38,2024-07-23 12:29:26:629
site_1,detected unregistered 5MX22S0OKFQ81R38,2024-07-23 12:29:32:244
site_1,detected unregistered 5MX22S0OKFQ81R38,2024-07-23 12:29:37:793
site_1,registered 5MX22S0OKFQ81R38,2024-07-23 12:29:40:766
site_1,detected unregistered B4NKNW8INFMV05PN,2024-07-23 12:30:34:514
site_1,detected unregistered B4NKNW8INFMV05PN,2024-07-23 12:30:40:115
site_1,detected unregistered B4NKNW8INFMV05PN,2024-07-23 12:30:45:708
site_3,detected unregistered 7GG0Q8E9F5T7QPPJ,2024-07-23 12:30:45:749
site_1,registered B4NKNW8INFMV05PN,2024-07-23 12:30:48:628
site_3,detected unregistered 7GG0Q8E9F5T7QPPJ,2024-07-23 12:30:51:389
site_3,registered 7GG0Q8E9F5T7QPPJ,2024-07-23 12:30:59:845
site_3,detected unregistered ZOFHEVHUQ03UIZO3,2024-07-23 12:31:02:800
