site,event,timestamp
site_1,detected unregistered 43RXEUWYW4JYILT2,2024-07-23 13:37:01:239
site_1,detected unregistered 43RXEUWYW4JYILT2,2024-07-23 13:37:07:580
site_4,detected unregistered 1G557IKXKZ5E036J,2024-07-23 13:37:13:257
site_1,detected unregistered 43RXEUWYW4JYILT2,2024-07-23 13:37:13:460
site_1,registered 43RXEUWYW4JYILT2,2024-07-23 13:37:18:878
site_4,detected unregistered 1G557IKXKZ5E036J,2024-07-23 13:37:19:092
site_4,detected unregistered 1G557IKXKZ5E036J,2024-07-23 13:37:24:767
site_4,registered 1G557IKXKZ5E036J,2024-07-23 13:37:28:462
site_1,detected unregistered P7ZY1I3KMDWZIM7N,2024-07-23 13:37:41:611
site_1,detected unregistered P7ZY1I3KMDWZIM7N,2024-07-23 13:37:47:271
site_1,registered P7ZY1I3KMDWZIM7N,2024-07-23 13:37:56:080
site_4,detected unregistered 8FLQ2IN7N1GBUTUO,2024-07-23 13:38:10:554
site_4,detected unregistered 8FLQ2IN7N1GBUTUO,2024-07-23 13:38:16:202
site_1,OLT not responding,2024-07-23 13:38:16:337
site_1,OLT up,2024-07-23 13:38:18:045
site_1,detected unregistered B1WXUZQO6T9PI261,2024-07-23 13:40:01:903
site_1,detected unregistered B1WXUZQO6T9PI261,2024-07-23 13:40:07:661
site_1,detected unregistered B1WXUZQO6T9PI261,2024-07-23 13:40:13:257
site_1,detected unregistered P7ZY1I3KMDWZIM7N,2024-07-23 13:40:13:257
site_4,detected unregistered DIZ9G6G348ESIOMS,2024-07-23 13:40:14:374
site_1,registered B1WXUZQO6T9PI261,2024-07-23 13:40:16:313
site_1,detected unregistered P7ZY1I3KMDWZIM7N,2024-07-23 13:40:18:957
site_4,detected unregistered DIZ9G6G348ESIOMS,2024-07-23 13:40:19:958
site_4,detected unregistered DIZ9G6G348ESIOMS,2024-07-23 13:40:25:559
site_1,registered P7ZY1I3KMDWZIM7N,2024-07-23 13:40:27:565
site_4,registered DIZ9G6G348ESIOMS,2024-07-23 13:40:28:496
site_2,detected unregistered 16XRPNLJYFG6AG03,2024-07-23 13:40:56:712
site_2,detected unregistered QHI9LQS022KZO6P6,2024-07-23 13:41:05:468
site_2,detected unregistered 16XRPNLJYFG6AG03,2024-07-23 13:41:05:468
site_2,registered 16XRPNLJYFG6AG03,2024-07-23 13:41:11:261
site_2,detected unregistered QHI9LQS022KZO6P6,2024-07-23 13:41:14:010
site_4,detected unregistered KEZSU2KJC2TMCGUN,2024-07-23 13:41:16:060
site_2,registered QHI9LQS022KZO6P6,2024-07-23 13:41:19:951
site_4,detected unregistered KEZSU2KJC2TMCGUN,2024-07-23 13:41:21:673
site_4,registered KEZSU2KJC2TMCGUN,2024-07-23 13:41:30:053
site_2,detected unregistered E616VITVSTI0HFQ1,2024-07-23 13:41:48:458
site_1,detected unregistered JBUK5MWVFOGCEGFC,2024-07-23 13:41:55:093
site_2,detected unregistered E616VITVSTI0HFQ1,2024-07-23 13:41:56:927
site_1,detected unregistered JBUK5MWVFOGCEGFC,2024-07-23 13:42:00:729
site_2,registered E616VITVSTI0HFQ1,2024-07-23 13:42:02:659
site_1,registered JBUK5MWVFOGCEGFC,2024-07-23 13:42:09:294
site_3,detected unregistered 6ZBLYB8OPGZ16VE3,2024-07-23 13:42:18:608
site_3,detected unregistered 6ZBLYB8OPGZ16VE3,2024-07-23 13:42:24:122
site_3,registered 6ZBLYB8OPGZ16VE3,2024-07-23 13:42:33:202
site_4,detected unregistered 49NWZQSB9CYWYCD6,2024-07-23 13:42:40:236
site_4,detected unregistered 49NWZQSB9CYWYCD6,2024-07-23 13:42:46:174
site_4,detected unregistered 4OEVHMFFV74DS0JV,2024-07-23 13:42:51:746
site_4,registered 49NWZQSB9CYWYCD6,2024-07-23 13:42:54:192
site_4,detected unregistered 4OEVHMFFV74DS0JV,2024-07-23 13:42:57:348
site_4,detected unregistered 4OEVHMFFV74DS0JV,2024-07-23 13:43:02:976
site_4,registered 4OEVHMFFV74DS0JV,2024-07-23 13:43:05:952
site_4,OLT not responding,2024-07-23 13:43:36:221
site_4,OLT up,2024-07-23 13:43:42:287
