site,event,timestamp
site_5,detected unregistered VO1J3A2Z3D7EIF7S,2024-07-24 09:34:32:492
site_5,detected unregistered NQLD1QCI7QHS4W1Y,2024-07-24 09:34:43:785
site_5,registered VO1J3A2Z3D7EIF7S,2024-07-24 09:34:47:727
site_5,registered NQLD1QCI7QHS4W1Y,2024-07-24 09:34:58:227
site_5,detected unregistered 88NC4IK5EPWAWIKB,2024-07-24 09:35:18:258
site_5,detected unregistered 88NC4IK5EPWAWIKB,2024-07-24 09:35:29:827
site_5,registered 88NC4IK5EPWAWIKB,2024-07-24 09:35:32:616
site_2,detected unregistered 1KEWP163WGHKGY1B,2024-07-24 09:36:20:869
site_2,detected unregistered 1KEWP163WGHKGY1B,2024-07-24 09:36:29:471
site_2,registered 1KEWP163WGHKGY1B,2024-07-24 09:36:35:557
site_2,detected unregistered 0WN80PR1QAB8C6NY,2024-07-24 09:37:11:677
site_2,detected unregistered EURYK7PTCDC16AR1,2024-07-24 09:37:20:241
site_2,detected unregistered 0WN80PR1QAB8C6NY,2024-07-24 09:37:20:241
site_2,registered 0WN80PR1QAB8C6NY,2024-07-24 09:37:25:758
site_2,detected unregistered EURYK7PTCDC16AR1,2024-07-24 09:37:28:656
site_2,registered EURYK7PTCDC16AR1,2024-07-24 09:37:34:562
site_5,detected unregistered WCOHS9UBUTAHV05V,2024-07-24 09:38:20:201
site_5,detected unregistered WCOHS9UBUTAHV05V,2024-07-24 09:38:31:534
site_5,registered WCOHS9UBUTAHV05V,2024-07-24 09:38:34:383
site_5,detected unregistered KPKT0D7MX8JLHP2P,2024-07-24 09:39:38:323
site_5,detected unregistered KPKT0D7MX8JLHP2P,2024-07-24 09:39:49:411
site_5,registered KPKT0D7MX8JLHP2P,2024-07-24 09:39:52:490
