site,event,timestamp
site_3,detected unregistered OOJ78XRMB3B86MCM,2024-07-23 13:08:34:480
site_3,detected unregistered OOJ78XRMB3B86MCM,2024-07-23 13:08:40:760
site_3,registered OOJ78XRMB3B86MCM,2024-07-23 13:08:49:219
site_2,detected unregistered RVU8XS5ZOIR5VKOZ,2024-07-23 13:08:56:071
site_2,detected unregistered RVU8XS5ZOIR5VKOZ,2024-07-23 13:09:04:512
site_2,registered RVU8XS5ZOIR5VKOZ,2024-07-23 13:09:10:343
site_2,detected unregistered BH3EWVX2EBUDLC0Z,2024-07-23 13:09:29:938
site_2,detected unregistered BH3EWVX2EBUDLC0Z,2024-07-23 13:09:38:387
site_2,registered BH3EWVX2EBUDLC0Z,2024-07-23 13:09:44:132
site_1,detected unregistered B4NKNW8INFMV05PN,2024-07-23 13:09:48:102
site_1,detected unregistered B4NKNW8INFMV05PN,2024-07-23 13:09:53:694
site_2,detected unregistered QTP2HYYGNXO1VPAT,2024-07-23 13:09:55:286
site_1,detected unregistered B4NKNW8INFMV05PN,2024-07-23 13:09:59:312
site_1,registered B4NKNW8INFMV05PN,2024-07-23 13:10:02:496
site_2,detected unregistered QTP2HYYGNXO1VPAT,2024-07-23 13:10:03:745
site_2,registered QTP2HYYGNXO1VPAT,2024-07-23 13:10:09:393
site_1,detected unregistered 74564TEGXW1SL1I5,2024-07-23 13:10:10:515
site_1,detected unregistered 74564TEGXW1SL1I5,2024-07-23 13:10:16:091
site_1,registered 74564TEGXW1SL1I5,2024-07-23 13:10:24:510
site_1,detected unregistered 8O6UL2JRTWPXLR4J,2024-07-23 13:10:49:839
site_1,detected unregistered 8O6UL2JRTWPXLR4J,2024-07-23 13:10:55:523
site_1,detected unregistered 8O6UL2JRTWPXLR4J,2024-07-23 13:11:01:285
site_1,registered 8O6UL2JRTWPXLR4J,2024-07-23 13:11:03:912
site_1,detected unregistered 1EOVVLVUSKP2A3F0,2024-07-23 13:11:57:847
site_1,detected unregistered 1EOVVLVUSKP2A3F0,2024-07-23 13:12:03:441
site_3,detected unregistered NKYTNFBGLSZ0G4RE,2024-07-23 13:12:08:602
site_1,registered 1EOVVLVUSKP2A3F0,2024-07-23 13:12:11:825
site_3,detected unregistered NKYTNFBGLSZ0G4RE,2024-07-23 13:12:14:154
site_2,detected unregistered X4K1TXDOQNAPCD6L,2024-07-23 13:12:18:799
site_3,detected unregistered NKYTNFBGLSZ0G4RE,2024-07-23 13:12:19:712
site_3,registered NKYTNFBGLSZ0G4RE,2024-07-23 13:12:22:681
site_2,detected unregistered X4K1TXDOQNAPCD6L,2024-07-23 13:12:27:307
site_2,detected unregistered NI8QLGMO57T16R5M,2024-07-23 13:12:27:307
site_2,registered X4K1TXDOQNAPCD6L,2024-07-23 13:12:32:928
site_2,detected unregistered NI8QLGMO57T16R5M,2024-07-23 13:12:35:729
site_2,registered NI8QLGMO57T16R5M,2024-07-23 13:12:41:516
site_3,detected unregistered 17XVTWP24EB2R3R0,2024-07-23 13:13:15:433
site_3,detected unregistered 17XVTWP24EB2R3R0,2024-07-23 13:13:20:995
site_3,registered 17XVTWP24EB2R3R0,2024-07-23 13:13:29:523
site_2,detected unregistered NZER7L6P0QKHRMOZ,2024-07-23 13:13:51:052
site_2,detected unregistered AEDQ4DYIBHYXC6PX,2024-07-23 13:13:51:052
site_2,detected unregistered NZER7L6P0QKHRMOZ,2024-07-23 13:13:59:441
site_2,detected unregistered AEDQ4DYIBHYXC6PX,2024-07-23 13:13:59:441
site_2,registered AEDQ4DYIBHYXC6PX,2024-07-23 13:14:05:304
site_2,registered NZER7L6P0QKHRMOZ,2024-07-23 13:14:05:361
site_1,OLT not responding,2024-07-23 13:14:31:954
site_1,OLT up,2024-07-23 13:14:32:421
