site,event,timestamp
site_2,detected unregistered 8PQ1V2TBXZIVGCQK,2024-07-23 15:55:42:705
site_2,detected unregistered 8PQ1V2TBXZIVGCQK,2024-07-23 15:55:51:453
site_4,detected unregistered 2JMX7IEFZY5H1AHW,2024-07-23 15:55:51:870
site_4,detected unregistered 2JMX7IEFZY5H1AHW,2024-07-23 15:55:57:524
site_2,registered 8PQ1V2TBXZIVGCQK,2024-07-23 15:55:57:664
site_4,registered 2JMX7IEFZY5H1AHW,2024-07-23 15:56:06:985
site_3,detected unregistered VRD2N2J6K7L901L1,2024-07-23 15:56:10:305
site_3,detected unregistered VRD2N2J6K7L901L1,2024-07-23 15:56:16:123
site_3,registered VRD2N2J6K7L901L1,2024-07-23 15:56:25:260
site_4,detected unregistered B6TR52NTF82CBV07,2024-07-23 15:56:25:797
site_4,detected unregistered B6TR52NTF82CBV07,2024-07-23 15:56:31:671
site_2,detected unregistered NOG8QM567OVLVWEC,2024-07-23 15:56:35:077
site_4,registered B6TR52NTF82CBV07,2024-07-23 15:56:40:230
site_2,detected unregistered NOG8QM567OVLVWEC,2024-07-23 15:56:44:440
site_4,detected unregistered 1G557IKXKZ5E036J,2024-07-23 15:56:49:233
site_2,registered NOG8QM567OVLVWEC,2024-07-23 15:56:49:773
site_4,detected unregistered 1G557IKXKZ5E036J,2024-07-23 15:56:54:854
site_3,detected unregistered 5L50ZTDA5EFR2B2D,2024-07-23 15:56:56:567
site_4,detected unregistered 1G557IKXKZ5E036J,2024-07-23 15:57:00:440
site_4,detected unregistered CBYTSO27W4ETUFQA,2024-07-23 15:57:00:440
site_3,detected unregistered 5L50ZTDA5EFR2B2D,2024-07-23 15:57:02:170
site_4,registered 1G557IKXKZ5E036J,2024-07-23 15:57:03:369
site_4,detected unregistered CBYTSO27W4ETUFQA,2024-07-23 15:57:06:075
site_3,registered 5L50ZTDA5EFR2B2D,2024-07-23 15:57:10:652
site_4,registered CBYTSO27W4ETUFQA,2024-07-23 15:57:14:755
site_3,detected unregistered T8MFGIVZC665VIOO,2024-07-23 15:57:24:615
site_3,detected unregistered T8MFGIVZC665VIOO,2024-07-23 15:57:30:381
site_3,detected unregistered T8MFGIVZC665VIOO,2024-07-23 15:57:36:001
site_3,registered T8MFGIVZC665VIOO,2024-07-23 15:57:38:805
site_1,detected unregistered GOVJJ9I95XMRKCAQ,2024-07-23 15:58:04:408
site_1,detected unregistered GOVJJ9I95XMRKCAQ,2024-07-23 15:58:10:184
site_1,detected unregistered KG2ARP8YD6G8Z3MX,2024-07-23 15:58:16:227
site_1,registered GOVJJ9I95XMRKCAQ,2024-07-23 15:58:19:800
site_1,detected unregistered KG2ARP8YD6G8Z3MX,2024-07-23 15:58:22:245
site_1,registered KG2ARP8YD6G8Z3MX,2024-07-23 15:58:31:168
site_4,detected unregistered UZF8GM9D3M0Q8T0N,2024-07-23 15:58:48:563
site_4,detected unregistered UZF8GM9D3M0Q8T0N,2024-07-23 15:58:54:177
site_4,registered UZF8GM9D3M0Q8T0N,2024-07-23 15:59:02:764
site_4,OLT not responding,2024-07-23 15:59:50:658
site_4,OLT up,2024-07-23 15:59:51:129
site_3,detected unregistered 9J6NPPUKURY28QBB,2024-07-23 16:00:09:614
site_3,detected unregistered 9J6NPPUKURY28QBB,2024-07-23 16:00:15:237
site_3,registered 9J6NPPUKURY28QBB,2024-07-23 16:00:23:702
