time,site,event,timestamp
2024-11-19 20:18:38_670,,site_4,error,OLT is down
2024-11-19 20:18:56_583,,site_4,error,OLT is up
2024-11-19 20:19:27_246,,site_2,error,OLT is down
2024-11-19 20:19:31_352,,site_2,error,OLT is up
2024-11-19 20:19:52_386,,site_5,error,Boards: board 4 is Standby_active
2024-11-19 20:20:04_921,,site_6,error,OLT is down
2024-11-19 20:20:09_362,,site_6,error,OLT is up
2024-11-19 20:21:27_393,,site_7,error,ONT Y7SEZUM3DMK4MSS0 has high voltage
2024-11-19 20:21:27_393,,site_7,error,ONT CDTA129BFJI4ZO04 has low voltage
2024-11-19 20:21:27_394,,site_7,error,ONT ZK0MG8FQWMPKCZNI has normal voltage
2024-11-19 20:21:27_394,,site_7,error,ONT UOAC0M3EXM32RIFW has normal voltage
2024-11-19 20:21:30_694,,site_7,error,Boards: board 4 is Standby_active
2024-11-19 20:23:09_429,,site_1,error,Boards: board 4 is Standby_active
2024-11-19 20:23:24_425,,site_7,error,ONT 0076KR8S77FO53P5 has high voltage
2024-11-19 20:23:24_426,,site_7,error,ONT Q1NYYSWIT0HLH6S7 has low voltage
2024-11-19 20:23:24_426,,site_7,error,ONT 9MHD1Y0DDAEU59FH has high voltage
2024-11-19 20:23:24_427,,site_7,error,ONT 3EW0CWX46TAPWDZ3 has low voltage
2024-11-19 20:23:27_606,,site_3,error,Boards: board 4 is Standby_active
2024-11-19 20:23:41_757,,site_2,error,Boards: board 4 is Standby_failed
2024-11-19 20:23:43_428,,site_4,error,Boards: board 4 is Standby_failed
2024-11-19 20:23:56_585,,site_5,error,Boards: board 4 is Standby_failed
2024-11-19 20:24:27_708,,site_6,error,Boards: board 4 is Standby_active
2024-11-19 20:25:21_501,,site_7,error,ONT 15FOFS277V2PN76Z has low voltage
2024-11-19 20:25:21_501,,site_7,error,ONT ME5GAVCLWZZ8DD09 has normal voltage
2024-11-19 20:25:21_502,,site_7,error,ONT 5NTA3OQAOLIYYOQU has normal voltage
2024-11-19 20:26:01_528,,site_2,error,OLT is down
2024-11-19 20:26:10_519,,site_2,error,OLT is up
2024-11-19 20:26:13_901,,site_2,error,Boards: board 4 is Normal
2024-11-19 20:26:41_186,,site_6,error,OLT is down
2024-11-19 20:26:49_240,,site_6,error,OLT is up
