fsp,ont_id,sn,control_flag,run_state,config_state,match_state,protect_side,description
0/ 0/0,0,79QITPNGJEARJPMF,active,online,normal,mismatch,no,The silky octave boils.
0/ 0/0,1,BFRS7F40RAUNYHJ0,active,online,normal,match,no,The magenta pier senses.
0/ 0/0,2,Y07NEIAM1GVSHRMC,active,-,-,-,yes,The dangerous jail releases.
0/ 0/0,3,L9H4MCEQSDAT377X,active,-,-,-,yes,The curly instrumentalist casts.
0/ 0/0,4,QMXWBSWRBP6D6DXP,active,online,normal,mismatch,no,The optimal anchovy justifies.
0/ 0/0,5,R2V7QMJ7HKWFMVS1,active,offline,initial,initial,no,The internal edition cares.
0/ 0/1,0,4R63KR9ARA49TQOU,active,online,normal,match,no,The ad hoc twitter collects.
0/ 0/1,1,KD196OOTMZGSNQ56,active,-,-,-,yes,The steep dioxide influences.
0/ 0/1,2,PTBJVFY10JOHBKVK,active,-,-,-,yes,The redundant souvenir represents.
0/ 0/1,3,FY6VVNC5XARRX9HH,active,offline,initial,initial,no,The irate timing spares.
0/ 0/1,4,XDYV5F4QO2PMUF8L,active,online,normal,match,no,The maniacal rotation hides.
0/ 0/1,5,LQUM4U3512PU9N4F,active,-,-,-,yes,The colorful analogue hates.
0/ 0/2,0,35LTEO07IY6BQV5S,active,online,normal,match,no,The warlike knife crushes.
0/ 0/2,1,SHHI34L33KIJIVB7,active,offline,initial,initial,no,The flowery harpsichord ranks.
0/ 0/2,2,US99F35XJEDICUA5,active,online,normal,match,no,The swanky digestion drowns.
0/ 0/2,3,82FD55HEONMOSUGQ,active,online,normal,match,no,The towering fat mourns.
0/ 0/2,4,Q8YAM4M117B2LPXW,active,offline,initial,initial,no,The dispensable length greets.
0/ 0/2,5,U6RHS63VER1T7ENI,active,online,normal,mismatch,no,The abject dancing retrieves.
0/ 0/3,0,YFD32IB5133S082G,active,online,normal,match,no,The wide-eyed derrick presets.
0/ 0/3,1,61WFV4ZEU9IH0QO0,active,online,normal,match,no,The tender currency dances.
0/ 0/3,2,844I5FQ9WPT2ZYW6,active,online,normal,match,no,The boorish label alerts.
0/ 0/3,3,4I98PTT1V76OX4QN,active,offline,initial,initial,no,The earthy raisin scribbles.
0/ 0/3,4,K78KG2M7PNERNNVS,active,-,-,-,yes,The coherent ecliptic rules.
0/ 0/3,5,U788HDRYVSSWKX9A,active,-,-,-,yes,The gusty top consults.
0/ 0/3,6,KX6Q4YWHBIC25Q6V,active,offline,initial,initial,no,The clean marketplace prefers.
0/ 0/3,7,5N2VO50XOXKTMYCZ,active,online,normal,mismatch,no,The sparkling ephyra breaks.
0/ 0/3,8,H1KLI3BH1Z7TAG7W,active,online,normal,match,no,The puny waveform crawls.
0/ 0/3,9,6NT7LTCK9I7H41G9,active,-,-,-,yes,The ad hoc intentionality cures.
0/ 0/3,10,VAE9XOQWCKTGNLHG,active,-,-,-,yes,The oceanic donkey claps.
0/ 0/3,11,RB5C60TUJRTEW2Z1,active,-,-,-,yes,The sneaky bagpipe smites.
0/ 0/3,12,EOSRMVNQEECR8YJI,active,online,normal,match,no,The tangible concentrate lets.
0/ 0/3,13,J1G72OYI8XW6CN12,active,online,normal,mismatch,no,The acrid buffet overtakes.
0/ 0/3,14,XOXUALJTX70KK4FM,active,offline,initial,initial,no,The various hiring stores.
0/ 0/3,15,5WVZZTRZ6C364DSY,active,online,normal,match,no,The succinct spec branches.
0/ 0/3,16,C0G7B7KFYMI614HZ,active,online,normal,mismatch,no,The macabre lover paints.
0/ 0/3,17,ASRM4AXWBJMET904,active,online,normal,match,no,The high actor thaws.
0/ 0/3,18,01UKUYKPQYKH46CM,active,-,-,-,yes,The chubby illusion engineers.
0/ 0/3,19,WXADQ02EUJJPUNT5,active,online,normal,match,no,The lazy consistency praiseds.
0/ 0/3,20,70DAO59TE06QYCRA,active,online,normal,match,no,The dark basis forbids.
0/ 0/3,21,HUU7BHXBJI3YOK80,active,online,normal,match,no,The exclusive tarragon plays.
0/ 0/3,22,QJY8SQK5VIJEYSGP,active,online,normal,mismatch,no,The supreme ribbon replaces.
0/ 0/3,23,VTJYL1CR5QSFAUMW,active,-,-,-,yes,The aggressive volunteering thrives.
0/ 0/3,24,X25VI1UNL6XQ3CSQ,active,offline,initial,initial,no,The mature supply offends.
0/ 0/3,25,H7YYZ3KMVENS7VCR,active,online,normal,match,no,The tacit signal empties.
0/ 0/3,26,Q6ZIO8EVENNDO3WV,active,-,-,-,yes,The smooth watch eats.
0/ 0/3,27,VEG8LOK8ZTV1T911,active,online,normal,mismatch,no,The chunky venture digs.
0/ 0/3,28,D4BB7U5TH6NGDDIV,active,online,normal,mismatch,no,The defeated oven misunderstands.
0/ 0/3,29,HXDPQ1FSBCZR8SS2,active,online,normal,match,no,The scattered smith grates.
0/ 0/3,30,X6ADTKBHS9E58AJH,active,online,normal,mismatch,no,The fallacious singular snows.
0/ 0/3,31,I6IG81KQRC9OEW5X,active,-,-,-,yes,The icy anesthesiology punctures.
0/ 0/4,0,SC2Z614VHK32RQ6D,active,online,normal,mismatch,no,The uppity climb sacks.
0/ 0/4,1,RI9U8Y8I5K3KBWEE,active,online,normal,mismatch,no,The panicky sector informs.
0/ 0/4,2,W5PPDZ71VUL2UM23,active,offline,initial,initial,no,The learned criminal mourns.
0/ 0/4,3,0AD9MLKM6CHWLDOC,active,online,normal,match,no,The womanly strategy terrifies.
0/ 0/4,4,TV9PGDLRP3XE8932,active,-,-,-,yes,The damaged ton drinks.
0/ 0/4,5,NIDXH4WGP4FOXSEN,active,-,-,-,yes,The skinny agony competes.
0/ 0/4,6,RX02Y5K7CD3XLUNO,active,-,-,-,yes,The prickly consensus binds.
0/ 0/4,7,DLJZV7KT4IVLL915,active,-,-,-,yes,The shallow coat scratches.
0/ 0/4,8,RM3HUE6GDIFOKDMI,active,online,normal,match,no,The imported stiletto shaves.
0/ 0/4,9,EH18XFRL81A4RIH8,active,online,normal,match,no,The colossal spume doubles.
0/ 0/4,10,HEZ1KCKFIUHLAWVQ,active,online,normal,mismatch,no,The subdued disgust begs.
0/ 0/4,11,8KJ5I265VMWD1UE8,active,online,normal,match,no,The short charge begs.
0/ 0/4,12,IPZFR6YR95Z7K2DT,active,online,normal,match,no,The perfect copying spends.
0/ 0/4,13,LHKYGJOSLQIXFQEZ,active,online,normal,match,no,The strong muscatel drives.
0/ 0/4,14,ZNJJ600MK1OX08PM,active,-,-,-,yes,The wry magnet hypothesizes.
0/ 0/4,15,LD5K68THQEMOEV7G,active,online,normal,mismatch,no,The capricious cake expedites.
0/ 0/4,16,JOUXWZDP4EAZUWTO,active,-,-,-,yes,The dirty funeral reorganizes.
0/ 0/4,17,AC89M9CD372P720Z,active,offline,initial,initial,no,The ossified operating arrests.
0/ 0/4,18,O6B5I4UKNIE8QFUL,active,online,normal,mismatch,no,The stale pliers obeys.
0/ 0/4,19,M47F2CQQLZ83P9NB,active,-,-,-,yes,The demonic kill governs.
0/ 0/4,20,RNJRNUWN7AQJIXRG,active,offline,initial,initial,no,The fallacious evening-wear prints.
0/ 0/4,21,V7WWMRWBV8AECTIX,active,online,normal,match,no,The cowardly buzz occurs.
0/ 0/5,0,B5QCDRJ7STOOYSWW,active,online,normal,match,no,The depressed curse smashes.
0/ 0/5,1,V0UB0RC1DPUIF540,active,offline,initial,initial,no,The bewildered cloudburst scribbles.
0/ 0/5,2,FV2XVLKIBE1G7ZLP,active,online,normal,match,no,The dead area digs.
0/ 0/5,3,VN693Y9XAOSPOGD0,active,-,-,-,yes,The dull marsh whips.
0/ 0/5,4,W6IV0RL2QQDZEKBD,active,-,-,-,yes,The holistic collector punctures.
0/ 0/5,5,F2PJBZ0RE5D9T4Y9,active,-,-,-,yes,The overjoyed lollipop concerns.
0/ 0/5,6,V64E9T0A6VXW0BWR,active,offline,initial,initial,no,The harsh manicure tries.
0/ 0/5,7,PC5H0RVGGH02ZMNM,active,online,normal,mismatch,no,The drunk yurt bows.
0/ 0/5,8,PVLVPV35CJH3M8B2,active,offline,initial,initial,no,The tasteless scenario deals.
0/ 0/5,9,TCB9DDIBETIXEHZZ,active,-,-,-,yes,The misty request reinforces.
0/ 0/5,10,19HB5CEFEIULSXZL,active,online,normal,match,no,The frightened geometry thinks.
0/ 0/5,11,2J1TLZWY1WQ4HQVT,active,-,-,-,yes,The abashed host expresses.
0/ 0/5,12,8XZICJ2ETIYOJL0Y,active,online,normal,match,no,The stereotyped rise notices.
0/ 0/5,13,0EJUWLB5GR03YCET,active,online,normal,match,no,The hysterical laundry bruises.
0/ 0/5,14,QFN1M8CABXD19Z96,active,offline,initial,initial,no,The bewildered robot buzes.
0/ 0/5,15,3OZTGATVF1JPJW90,active,online,normal,mismatch,no,The quick mall shoots.
0/ 0/5,16,7UQ0D0ZREB2EUJ9S,active,online,normal,match,no,The obtainable boysenberry steers.
0/ 0/5,17,D1UH7H7STJ627LE7,active,online,normal,match,no,The tan graphic slits.
0/ 0/6,0,XDKNNBVLBMPS,active,online,normal,match,no,The aloof sight overthrows.
0/ 0/6,1,0BT3JGCA4L2D,active,-,-,-,yes,The tight poppy slips.
0/ 0/6,2,0H30JMIPDT4R,active,-,-,-,yes,The accessible sac hangs.
0/ 0/6,3,B2ADS4OADO9T,active,online,normal,mismatch,no,The bored bill drives.
0/ 0/6,4,DJHGIL2BYUHB,active,online,normal,mismatch,no,The glib grandmom licks.
0/ 0/6,5,ZSU00U840IDY,active,-,-,-,yes,The educated scale answers.
0/ 0/6,6,EGKJ2IQVM7HY,active,offline,initial,initial,no,The changeable longitude melts.
0/ 0/6,7,F5620LH6BSXJ,active,online,normal,mismatch,no,The gaudy closing watches.
0/ 0/6,8,SONSSF6BTR0R,active,online,normal,mismatch,no,The stale honesty logs.
0/ 0/6,9,XRHFOIH2SLA5,active,-,-,-,yes,The needless yacht pushes.
0/ 0/6,10,KE714RWN55TK,active,offline,initial,initial,no,The tested camper bids.
0/ 0/6,11,8DGR1M73YHM7,active,online,normal,match,no,The vengeful toaster stops.
0/ 0/6,12,B1T7T1BV64U4,active,online,normal,match,no,The ad hoc bunch pedals.
0/ 0/7,0,EEQM0OX5H73RHC4D,active,online,normal,mismatch,no,The exotic maintenance repairs.
0/ 0/7,1,GQB8VXV1150140WB,active,online,normal,mismatch,no,The angry hatchet explains.
0/ 0/7,2,F9LRYJICZJFGOHAJ,active,online,normal,match,no,The clammy soot finances.
0/ 0/7,3,I66Y2OUXQT5QQSS2,active,-,-,-,yes,The madly quartz sketches.
0/ 0/7,4,YH055HMKL40YVRR2,active,online,normal,match,no,The plucky asphalt originates.
0/ 0/7,5,JMM3SJ4L2X5C8UTW,active,online,normal,mismatch,no,The garrulous malnutrition markets.
0/ 0/7,6,OBCPIIIAS1T66YVZ,active,online,normal,mismatch,no,The high-pitched jeans tempts.
0/ 0/7,7,H0BM21PFIVJ3DDPD,active,-,-,-,yes,The smooth theism measures.
0/ 0/7,8,77X37BSVE8ZNME6Q,active,online,normal,match,no,The selective gun wobbles.
0/ 0/7,9,PCLB28WM20WHUIKH,active,-,-,-,yes,The strange lacquerware telephones.
0/ 0/7,10,T1H5G19L6YYNJRMG,active,-,-,-,yes,The juvenile blessing interferes.
0/ 0/7,11,B724KFRI18NKD68W,active,-,-,-,yes,The poor phone shades.
0/ 0/7,12,W5TOJ3FS4MJGOSQT,active,online,normal,match,no,The mere tamale exercises.
0/ 0/7,13,23B75O0V716RXZLS,active,-,-,-,yes,The guttural lounge glues.
0/ 0/8,0,QB9YNZMFZHPOXFGR,active,online,normal,match,no,The open die implements.
0/ 0/8,1,RLHNPM8QL7QTNNB7,active,online,normal,mismatch,no,The accidental barium deserves.
0/ 0/8,2,EQFP0Z98R6THV1IO,active,-,-,-,yes,The many coast thaws.
0/ 0/8,3,V56AHI0UWZ9OEPUD,active,online,normal,mismatch,no,The loutish battalion untidies.
0/ 0/8,4,3OORQ0KAUSNJAQ0H,active,offline,initial,initial,no,The heartbreaking competition follows.
0/ 0/8,5,WVM5CK7HTSWV6NZD,active,offline,initial,initial,no,The festive cage peeps.
0/ 0/8,6,458Q979YRY71ESOC,active,-,-,-,yes,The stale mug conceives.
0/ 0/8,7,D8LY6CFARM3XIBBN,active,online,normal,mismatch,no,The tranquil manicure clips.
0/ 0/8,8,X4MPKV6OP66Z6ACM,active,online,normal,mismatch,no,The lively vegetation senses.
0/ 0/8,9,EYWATV4CUVM17NTD,active,offline,initial,initial,no,The teeny-tiny trapezoid mans.
0/ 0/8,10,XH6Y92WT79D8NBHV,active,online,normal,match,no,The callous outlaw stirs.
