fsp,ont_id,sn,control_flag,run_state,config_state,match_state,protect_side,description
0/ 0/0,0,DV7EYH2PCXEDXC74,active,offline,initial,initial,no,The macho subroutine strips.
0/ 0/0,1,L8I81XI8A1H3X9LO,active,online,normal,match,no,The ahead mayonnaise paddles.
0/ 0/0,2,RV3PJQ9QXJUDHWLA,active,offline,initial,initial,no,The squeamish sled cheers.
0/ 0/0,3,SRXE8NARO7818KOD,active,online,normal,match,no,The square hockey unifies.
0/ 0/0,4,A6D87XP2GJTALS6J,active,online,normal,mismatch,no,The absorbed verification rushes.
0/ 0/0,5,NL2SOGRYYE2L717O,active,offline,initial,initial,no,The courageous surface bores.
0/ 0/0,6,IGMLTU2VORYHDGRU,active,-,-,-,yes,The tawdry mushroom stores.
0/ 0/0,7,KQWMIJUZQ5DOMQWT,active,offline,initial,initial,no,The draconian chapel conducts.
0/ 0/0,8,BEN2QWRSATJ7U96I,active,offline,initial,initial,no,The sulky twins pays.
0/ 0/0,9,KTW4P1M5ACNYSP2L,active,offline,initial,initial,no,The classy nickname cares.
0/ 0/0,10,NHHEDBM4JH9HGRRB,active,online,normal,match,no,The clear try challenges.
0/ 0/0,11,CMLIIVFOXC95FOY4,active,offline,initial,initial,no,The optimal counselor lends.
0/ 0/0,12,6SIH2D949Y3NB0HU,active,offline,initial,initial,no,The excellent clerk sips.
0/ 0/0,13,A43H26D6XVA5WTDI,active,online,normal,mismatch,no,The deep professional presents.
0/ 0/0,14,ASFG6GH88MJ3OH3N,active,-,-,-,yes,The abrupt wasabi scrubs.
0/ 0/0,15,9FZ3ATUFM5W8L4VK,active,online,normal,mismatch,no,The furtive fountain gazes.
0/ 0/0,16,RJ85ONRRY0JZQXFN,active,online,normal,match,no,The elderly neurobiologist trembles.
0/ 0/0,17,MNXY6P8I9SFF4UQ1,active,online,normal,match,no,The phobic idiom formulates.
0/ 0/0,18,4CPAUL4A1ZM9E8A5,active,online,normal,mismatch,no,The amuck creme brulee irritates.
0/ 0/0,19,CA5HW1TE5310NJQU,active,online,normal,match,no,The courageous arch drips.
0/ 0/0,20,ZJCVL4J7U9TAKFVZ,active,online,normal,mismatch,no,The stupid intelligence meddles.
0/ 0/0,21,CNSK0IDXS2ARAEHY,active,offline,initial,initial,no,The venomous millennium maps.
0/ 0/0,22,I7OB2BHCBXL94RE0,active,online,normal,match,no,The volatile tutu lectures.
0/ 0/0,23,FTPER9M4X3MDD1AV,active,online,normal,match,no,The spooky bone tours.
0/ 0/0,24,VZT0PTKDD9TDTAJB,active,online,normal,match,no,The gaping treasure holds.
0/ 0/1,0,ZIOMXD1A1WWWAHI4,active,online,normal,match,no,The muddy moonshine initiates.
0/ 0/1,1,M7HD3LCLWR6MSF8N,active,offline,initial,initial,no,The needless councilperson fills.
0/ 0/1,2,DOPKDJV1YAPR6MMN,active,offline,initial,initial,no,The rare clogs maintains.
0/ 0/1,3,DEQW20GWHNBILEAM,active,online,normal,match,no,The weary coffin ignores.
0/ 0/1,4,WQF46YHN2IEG3KH8,active,-,-,-,yes,The big keep scorches.
0/ 0/1,5,L1EIOQS7F6H02ERQ,active,-,-,-,yes,The spectacular diffuse behaves.
0/ 0/1,6,AURW0AJ05FWU8CH8,active,-,-,-,yes,The quizzical instinct teases.
0/ 0/1,7,MY5OHAJQCQXJA6LP,active,online,normal,match,no,The high-pitched capability bans.
