fsp,ont_id,sn,control_flag,run_state,config_state,match_state,protect_side,description
0/ 0/0,0,V0YXO4DISD7Y4HMZ,active,offline,initial,initial,no,The icy pumpernickel bursts.
0/ 0/0,1,OV5AC7V0VOHX9QR9,active,online,normal,match,no,The attractive hardship jams.
0/ 0/0,2,TIEKWRG9QZ3SLZBI,active,offline,initial,initial,no,The guttural wish insures.
0/ 0/0,3,2K05KW3WQICEBPR7,active,offline,initial,initial,no,The yielding emanate attempts.
0/ 0/0,4,1J20WJXRLNMIYFC7,active,online,normal,mismatch,no,The abandoned novel innovates.
0/ 0/0,5,50GB1H1WGV4WAABY,active,online,normal,mismatch,no,The annoyed type sweeps.
0/ 0/0,6,WTTFB4E5EP76XV8F,active,online,normal,match,no,The sour chord loses.
0/ 0/0,7,R15QWUMWETL6J8QM,active,online,normal,mismatch,no,The sleepy governance preaches.
0/ 0/0,8,200O59YQTGTLAYVJ,active,online,normal,mismatch,no,The sedate left phones.
0/ 0/0,9,A8T12CLZS07UVXNS,active,offline,initial,initial,no,The finicky version drums.
0/ 0/0,10,KC92I2CAYB8UBT4S,active,online,normal,mismatch,no,The abiding gall-bladder meddles.
0/ 0/0,11,H6JB6F2SOSD1HNQ2,active,online,normal,mismatch,no,The upset moonscape sacks.
0/ 0/0,12,MXG2HX2HM69UE2X3,active,offline,initial,initial,no,The fabulous associate fences.
0/ 0/0,13,W7IG8EA5QTT6DK3Z,active,offline,initial,initial,no,The blue bunch includes.
0/ 0/0,14,UNDO6FV2ZIRR4Y5W,active,online,normal,match,no,The tightfisted general snatches.
0/ 0/0,15,V6OYYVAKHGI6SC5N,active,-,-,-,yes,The thankful dance waves.
0/ 0/0,16,H6KVP5LUXHO36IXA,active,online,normal,match,no,The literate return updates.
0/ 0/0,17,AY9C7QZ0MSF3KK1P,active,offline,initial,initial,no,The encouraging tune accomplishes.
0/ 0/0,18,Y9COBZ58A1GLK5E4,active,-,-,-,yes,The boorish trapezium initiates.
0/ 0/0,19,B8E89C3IK0CPLGCZ,active,online,normal,mismatch,no,The flawless helmet soaks.
0/ 0/0,20,E2DWM2S5XWJN2AMH,active,offline,initial,initial,no,The odd step-father yawns.
0/ 0/0,21,E0G5WFKQPE9CLGHH,active,offline,initial,initial,no,The imaginary interaction marches.
0/ 0/0,22,9XKQPNQOAIDF78TC,active,-,-,-,yes,The panicky good bares.
0/ 0/0,23,DDJJ4ZDOF6UX542I,active,online,normal,match,no,The lavish morale claims.
0/ 0/0,24,OKBJZ3GTCEGJXWCX,active,offline,initial,initial,no,The chunky policy jails.
0/ 0/1,0,F9NKM5CZOXN6Y5HR,active,-,-,-,yes,The giddy hiking manufactures.
0/ 0/1,1,S7OFW6P0HVXCAS59,active,-,-,-,yes,The beautiful run picks.
0/ 0/1,2,43PIN0I9Y0VU8GZL,active,offline,initial,initial,no,The likeable hunting integrates.
0/ 0/1,3,DF6UU6UI25MR4LWK,active,online,normal,mismatch,no,The seemly hurricane smashes.
0/ 0/1,4,LGYAGL6EOBMR2YMI,active,-,-,-,yes,The unsightly smolt pricks.
0/ 0/1,5,98XV4QVXN2ZLPU1D,active,offline,initial,initial,no,The dysfunctional university untidies.
0/ 0/1,6,7I6BHWNVL15OGRX2,active,offline,initial,initial,no,The whimsical meet faces.
0/ 0/1,7,L8VDRDH4C5I0GAKI,active,online,normal,mismatch,no,The pointless perp spends.
0/ 0/1,8,2BJ8BS3P8BPWYFON,active,online,normal,mismatch,no,The wee boost depends.
0/ 0/1,9,8SDT2X1PXGS5HL4W,active,-,-,-,yes,The rhetorical rubber attaches.
0/ 0/1,10,51WQK4LREKXHBUJD,active,-,-,-,yes,The rotten pearl succeeds.
0/ 0/1,11,Z20Y555QLBD7PSTB,active,online,normal,match,no,The loud science arbitrates.
0/ 0/1,12,5PNG6ZVICS2K66M3,active,online,normal,mismatch,no,The knowing cadet thanks.
0/ 0/1,13,3IJOOZA02UINIA2S,active,-,-,-,yes,The abject tofu sheds.
