fsp,ont_id,sn,control_flag,run_state,config_state,match_state,protect_side,description
0/ 0/0,0,DUUO6PQRI8M8HKUM,active,-,-,-,yes,The unequaled medium measures.
0/ 0/0,1,J4N94KQ3GNB9YK50,active,-,-,-,yes,The tricky airspace jokes.
0/ 0/0,2,U6W0H05SLG6I40NF,active,online,normal,mismatch,no,The hollow menu arbitrates.
0/ 0/0,3,RDOK116ANFZ2DYZC,active,offline,initial,initial,no,The graceful switchboard satisfies.
0/ 0/0,4,2V4S4YEM52ARCLQF,active,online,normal,mismatch,no,The high-pitched external rubs.
0/ 0/0,5,GP4RLSPP0K2ENDBB,active,-,-,-,yes,The festive umbrella curls.
0/ 0/0,6,DHWLK9HOVVRDVP6X,active,online,normal,mismatch,no,The wholesale freight sniffs.
0/ 0/0,7,SXJW3QBUK2TYF9HZ,active,online,normal,match,no,The cute cornerstone harasses.
0/ 0/0,8,L3RZJX2L2F2Y0I0S,active,online,normal,mismatch,no,The short hermit researches.
0/ 0/0,9,0FKWWUKB0JDT3PMO,active,online,normal,match,no,The scrawny settler trips.
0/ 0/0,10,B7S7JIP93M7US6P6,active,online,normal,mismatch,no,The jazzy pelt flings.
0/ 0/0,11,2DP7RW8Q5X0HFAED,active,-,-,-,yes,The eminent piece bites.
0/ 0/0,12,IQELN352JYST1U2H,active,online,normal,match,no,The unusual anything bleaches.
0/ 0/0,13,GWQ1G1P3DP48UGOT,active,online,normal,mismatch,no,The lewd supervision sits.
0/ 0/0,14,XPB8DFWFNTH0UCNZ,active,-,-,-,yes,The plucky softdrink fails.
0/ 0/0,15,AN45TK5PJN2JIGSY,active,online,normal,mismatch,no,The pastoral situation switches.
0/ 0/0,16,WUSET8DMCOAMICOC,active,-,-,-,yes,The flippant dart overdraws.
0/ 0/0,17,6K562UHGEKLRLY3T,active,-,-,-,yes,The ill adjustment obeys.
0/ 0/0,18,VOBI3KU3WJ1OUE6Y,active,online,normal,match,no,The thinkable fine estimates.
0/ 0/0,19,LJLWA86JKR539G9U,active,offline,initial,initial,no,The narrow e-book interviews.
0/ 0/0,20,NIMZY5KPTO910RLG,active,offline,initial,initial,no,The zonked conflict rocks.
0/ 0/0,21,O6AW30AGQ5100J43,active,offline,initial,initial,no,The squalid anteater annoys.
0/ 0/0,22,MDO2MGSPDDN21RR0,active,offline,initial,initial,no,The sticky subconscious practices.
0/ 0/0,23,NFFMBGFQ4QYP52ZQ,active,offline,initial,initial,no,The nauseating clan occurs.
0/ 0/0,24,EYDJ7RX0ERT0A79Y,active,online,normal,mismatch,no,The picayune hive freezes.
0/ 0/0,25,DR6S88UKRITCZ7O3,active,-,-,-,yes,The trashy second confesses.
0/ 0/0,26,2G3L3W9FH3TACKFL,active,online,normal,match,no,The axiomatic motivation proofreads.
0/ 0/0,27,CWWGQC1LUVN0JN2X,active,online,normal,match,no,The rapid vellum floats.
0/ 0/0,28,M5QT4RYAMPWBRQCH,active,online,normal,mismatch,no,The changeable propane broadcasts.
0/ 0/0,29,8SABD6CHOYFHWJEX,active,online,normal,mismatch,no,The aback azimuth schedules.
0/ 0/0,30,CD3DPCHK3TID0WW0,active,-,-,-,yes,The disagreeable apricot remembers.
0/ 0/1,0,1HC0IRV0YCT5OJZB,active,offline,initial,initial,no,The melted trombone reflects.
0/ 0/1,1,RUGIOOK1Z75WU8VB,active,online,normal,match,no,The premium lighting receives.
0/ 0/1,2,7UL03HBNXQGLXGDU,active,online,normal,mismatch,no,The fluffy orient holds.
0/ 0/1,3,YMZ733WLHMSCXON8,active,offline,initial,initial,no,The heavenly paragraph beams.
0/ 0/1,4,A3V2VR1TLIA1KONL,active,online,normal,mismatch,no,The bizarre slump fills.
0/ 0/1,5,2V004UVZSWKN0Y22,active,online,normal,mismatch,no,The honorable congress flaps.
0/ 0/1,6,XX1CJFCVB2A77LPX,active,online,normal,match,no,The colorful saving crawls.
0/ 0/1,7,I4CYHDQWMHS79X85,active,online,normal,match,no,The wide ferret sings.
0/ 0/1,8,TTGX6OMDKIC1LDU5,active,offline,initial,initial,no,The round dream deceives.
0/ 0/1,9,CPRZDCY9MR383CNY,active,offline,initial,initial,no,The sparkling replacement holds.
0/ 0/1,10,BDYWLM1AGBLZAK3R,active,online,normal,mismatch,no,The substantial bridge settles.
0/ 0/1,11,2AUNUIVTA8Y27LA7,active,online,normal,match,no,The glamorous compassion installs.
0/ 0/2,0,21KK91XY852HA5Y4,active,online,normal,match,no,The tightfisted hockey steers.
0/ 0/2,1,NV98N0UUS9LDLBAT,active,online,normal,mismatch,no,The substantial criteria scrapes.
0/ 0/2,2,3QJFFPIEM9KZZE51,active,-,-,-,yes,The illustrious founder hunts.
