fsp,ont_id,sn,control_flag,run_state,config_state,match_state,protect_side,description
0/ 0/0,0,BBYC38A9CL19P227,active,,,,yes,The callous incubation markets.
0/ 0/0,1,QENCID6KRRXYJXQ0,active,online,normal,mismatch,no,The imported crack discovers.
0/ 0/0,2,CJLM0YU6MKMG1DUO,active,online,normal,mismatch,no,The temporary hectare prefers.
0/ 0/0,3,GQA66DG2JZXV7Y5S,active,online,normal,mismatch,no,The hesitant solidarity consults.
0/ 0/0,4,EDHHBA4B3EZGB27V,active,online,normal,match,no,The functional identification winds.
0/ 0/0,5,XOY1VN7R2FQEOAEB,active,online,normal,mismatch,no,The squeamish disconnection proposes.
0/ 0/0,6,W6P59JVFXGJ1U0SN,active,online,normal,mismatch,no,The political desire buries.
0/ 0/0,7,UVZSU3C29ONGC7IX,active,offline,initial,initial,no,The brawny print foregos.
0/ 0/0,8,X2FUJQA6X6P1EMOZ,active,online,normal,mismatch,no,The addicted digit understands.
0/ 0/0,9,708ZCUMK87D6LXYV,active,online,normal,match,no,The cuddly sock sniffs.
0/ 0/0,10,NSUSBBI05IRCJM7I,active,online,normal,match,no,The skillful banyan challenges.
0/ 0/0,11,PQ00O4A9IE905F12,active,online,normal,mismatch,no,The nutty manor camps.
0/ 0/0,12,KCKCD54K5BZU2BF1,active,online,normal,mismatch,no,The uninterested destiny flees.
0/ 0/0,13,LB23XVFPQAD1OLH9,active,offline,initial,initial,no,The mere pronoun prays.
0/ 0/0,14,BSGLERF21PTPMS54,active,offline,initial,initial,no,The measly advancement replies.
0/ 0/0,15,A56J1ALIXRWRB0ZH,active,online,normal,match,no,The lean artificer forbids.
0/ 0/0,16,O15IHW8V6VYXJ0CN,active,online,normal,match,no,The steady proximity bes.
0/ 0/0,17,XLGLZB82DIVW4ODW,active,,,,yes,The meek cemetery punishes.
0/ 0/0,18,YKWZ6JNFJVJ9ZDTR,active,online,normal,match,no,The slippery classification illustrates.
0/ 0/0,19,L2J6TR5N3ZCLVXJH,active,online,normal,match,no,The hilarious music-making fears.
0/ 0/0,20,OPJKYZLMUA1H978U,active,online,normal,match,no,The depressed judge crushes.
0/ 0/0,21,N3C20TFHWWZHGF4P,active,online,normal,match,no,The fast cobweb hurries.
0/ 0/0,22,9ZJB1DHIO98Z5U1A,active,online,normal,match,no,The salty astrology lightens.
0/ 0/0,23,YXUNPTLDA6ZUAJC7,active,,,,yes,The scintillating temporary says.
0/ 0/0,24,IUSVY9VNJYFW7PVI,active,offline,initial,initial,no,The mature dare tells.
0/ 0/0,25,A7WD3E5CA7JQH9TM,active,,,,yes,The drab socks targets.
0/ 0/0,26,E5Y442Z07R7TXYCM,active,online,normal,match,no,The overt tow-truck sparkles.
0/ 0/0,27,DEJNV1P7WY10MWZI,active,online,normal,mismatch,no,The godly choice dives.
0/ 0/0,28,TNLXTGPQX9KHXCQ9,active,offline,initial,initial,no,The tan money jams.
0/ 0/0,29,KR7IC3JU8BEV94NR,active,online,normal,mismatch,no,The wakeful brown adopts.
0/ 0/1,0,FBCYQ3M9BCMVR4KN,active,offline,initial,initial,no,The capricious decimal matters.
0/ 0/1,1,FKY3Q7MJL09RZI1V,active,offline,initial,initial,no,The filthy stumbling wets.
0/ 0/1,2,LM5FEWF1SBB47MR6,active,online,normal,mismatch,no,The dashing petition exceeds.
0/ 0/1,3,MK0M8J4RDG9BS5E2,active,,,,yes,The giddy ham delegates.
0/ 0/1,4,EKYASX5OYCKP4F0Z,active,offline,initial,initial,no,The successful island upholds.
0/ 0/1,5,XSJGAT6O1P26EMEF,active,,,,yes,The astonishing quinoa floats.
0/ 0/1,6,VIYLAP0JL1X7O2CZ,active,,,,yes,The innate importance represents.
0/ 0/1,7,642FUEBFWDW355A7,active,online,normal,mismatch,no,The groovy assignment smashes.
0/ 0/1,8,GA3CCBC21LAUNRRH,active,offline,initial,initial,no,The juvenile milkshake orders.
0/ 0/1,9,6ZI27RYM23JW3KA7,active,online,normal,mismatch,no,The round wifi plans.
0/ 0/1,10,3BMZXZQS9Q4E4WUI,active,online,normal,mismatch,no,The bad grid blots.
0/ 0/1,11,DXTLBXBCGD0ITP4S,active,online,normal,mismatch,no,The tan fifth fits.
0/ 0/1,12,2YYSVRPR52R456PS,active,online,normal,match,no,The teeny plug wails.
0/ 0/1,13,91E8XYWD48432OSX,active,offline,initial,initial,no,The scientific stealth moves.
0/ 0/1,14,BB32P0BTCJTRRTSA,active,,,,yes,The ragged cheek waits.
0/ 0/1,15,QC0TRY96JZG0TFI3,active,online,normal,match,no,The gaudy senate accepts.
0/ 0/1,16,39D1YDHB5QAQA8L1,active,online,normal,match,no,The royal rebellion taps.
0/ 0/1,17,KPUGXLYKG8ALZ69T,active,online,normal,mismatch,no,The giant begonia closes.
0/ 0/1,18,HS91J3DRQQKW70IB,active,online,normal,match,no,The cultured window wants.
