fsp,ont_id,sn,control_flag,run_state,config_state,match_state,protect_side,description
0/ 0/0,0,9XOWPQTC12H3KM7O,active,online,normal,match,no,The flipped-out pagoda tips.
0/ 0/0,1,T3XKPSWPCX50PA08,active,offline,initial,initial,no,The pretty team delays.
0/ 0/0,2,LURZLVYUOW5PDR92,active,online,normal,mismatch,no,The screeching partner pops.
0/ 0/0,3,TZVTEKZSJNWJ4ROF,active,online,normal,mismatch,no,The heady visa mends.
0/ 0/0,4,BCT67FIREKKAA468,active,online,normal,match,no,The knowing curse injures.
0/ 0/0,5,H50YDWRXCKBU3D3D,active,offline,initial,initial,no,The premium universe arranges.
0/ 0/0,6,L9TW6LS6BIAZXFAP,active,online,normal,mismatch,no,The synonymous nectar forsakes.
0/ 0/0,7,141JUPGG8LKJO5OH,active,online,normal,mismatch,no,The unusual cookie drives.
0/ 0/0,8,IO8S34007Q7C6EXU,active,online,normal,mismatch,no,The fair stability cheers.
0/ 0/0,9,MA16YGOVOHPEND5C,active,,,,yes,The ashamed shame charges.
0/ 0/0,10,CX7GA4XJQCUC2PWF,active,offline,initial,initial,no,The different rebellion rids.
0/ 0/1,0,QUXM8I0IIKJD3KPW,active,,,,yes,The various repayment loves.
0/ 0/1,1,A809QRCG5LTR4JYE,active,online,normal,mismatch,no,The nutty sesame polishes.
0/ 0/1,2,FI1LAPU5P59NNIKO,active,,,,yes,The wealthy falling-out identifies.
0/ 0/1,3,XDIM0FP0TI413K2U,active,online,normal,match,no,The big shipping tries.
0/ 0/1,4,NJOE6PNU0KMC801G,active,offline,initial,initial,no,The early news hovers.
0/ 0/1,5,9EA122NK1X1A1Q80,active,offline,initial,initial,no,The elderly hallway clears.
0/ 0/1,6,HH08FEAUVSQ3JTEM,active,offline,initial,initial,no,The nappy gown negotiates.
0/ 0/1,7,MGXMVTG17G43IH4Y,active,online,normal,mismatch,no,The dispensable culture pines.
0/ 0/1,8,LKJKT6SHVUTQX9Q9,active,offline,initial,initial,no,The quickest papaya raises.
0/ 0/1,9,8BIB496ODRGUG8IP,active,offline,initial,initial,no,The unusual fava mans.
0/ 0/1,10,9HSRV3R8SX7QHZ7Q,active,,,,yes,The relieved fool places.
0/ 0/1,11,ILCM6LKQIIXBFTBT,active,,,,yes,The quiet understatement perceives.
0/ 0/1,12,EQ6Q7KFB8SW8VMK5,active,online,normal,mismatch,no,The symptomatic schema marries.
0/ 0/1,13,SCXDETLTLQDKE2G6,active,online,normal,match,no,The fertile patron facilitates.
0/ 0/1,14,CPJ6AN067D9YWF02,active,,,,yes,The enchanting counter induces.
0/ 0/1,15,7PUBK9TO2QLIF7FS,active,online,normal,mismatch,no,The dull article follows.
0/ 0/1,16,NFENGH0S8RLJJF0G,active,online,normal,match,no,The boundless boundary tugs.
0/ 0/1,17,MSLUYUPYJZJAOTXT,active,,,,yes,The knowing wooshed slides.
0/ 0/1,18,VL69A9GN9N7ZCD9G,active,online,normal,mismatch,no,The unequaled regard avoids.
0/ 0/1,19,34V7WX1R126KK7U7,active,online,normal,mismatch,no,The big bridge attends.
0/ 0/1,20,4XKUKYZFLJPUDWZY,active,online,normal,match,no,The fierce hatchling maps.
0/ 0/1,21,G36F993EL05VHQQP,active,online,normal,match,no,The powerful ravioli arbitrates.
0/ 0/1,22,SQ5RONRONMSJOZ2X,active,online,normal,mismatch,no,The venomous chap wastes.
0/ 0/1,23,4BGKVDWI2YQP127C,active,online,normal,mismatch,no,The famous cross-contamination relaxes.
0/ 0/1,24,2OH4MESYWLYIFDWG,active,offline,initial,initial,no,The phobic recess projects.
0/ 0/1,25,G3J5VGS0SY2ZT9U9,active,offline,initial,initial,no,The protective graduation swears.
0/ 0/1,26,GUYTYLSDWTQQGYDN,active,,,,yes,The rainy slaw enters.
0/ 0/1,27,175JTNJHMGNLUSW7,active,online,normal,match,no,The fluffy happening excuses.
0/ 0/1,28,PN78HPWAJ34KMVZO,active,offline,initial,initial,no,The mundane norm receives.
0/ 0/2,0,0YOEP6DJ5TIO1CT4,active,online,normal,mismatch,no,The lavish referendum hammers.
0/ 0/2,1,UAVPZ95SSKEWOB0N,active,,,,yes,The silly volunteer numbers.
0/ 0/2,2,E7IBMXCJ1ALQLPTD,active,,,,yes,The flat pause scatters.
0/ 0/2,3,NZGC8MWQRTCU7ZRO,active,online,normal,mismatch,no,The unable back visits.
0/ 0/2,4,HEKE3BHRX5SCPNPC,active,online,normal,match,no,The abundant attorney connects.
0/ 0/2,5,35GVZ3A34GJARPU3,active,online,normal,match,no,The merciful lilac mistakes.
0/ 0/2,6,R9TV1NWRSH56V18G,active,,,,yes,The easy creator sits.
0/ 0/2,7,IEID6DEJNXZUDQ6D,active,,,,yes,The combative divide lays.
0/ 0/2,8,MQ7L56V27VBIIZ7W,active,offline,initial,initial,no,The silent pansy blushes.
0/ 0/2,9,LUW2K48NJL4WQ2OH,active,offline,initial,initial,no,The blue mid-course drums.
0/ 0/2,10,6MU8L9VDLKN7ANBE,active,online,normal,match,no,The waggish expectancy attracts.
0/ 0/2,11,XIYXOCURY1ZEFCVX,active,,,,yes,The late guava arrests.
0/ 0/2,12,YLSGCPAAE507NTGV,active,,,,yes,The wise fitness handles.
0/ 0/2,13,AZU1Z59IG1OJC7SP,active,offline,initial,initial,no,The modern filing attracts.
0/ 0/2,14,JSWCS4IV7PSB4I4H,active,,,,yes,The splendid colonial doubles.
0/ 0/2,15,1NX74J4OUAKF64F7,active,online,normal,match,no,The talented snowmobiling bumps.
0/ 0/2,16,LOT1IEFAUJYQ9149,active,online,normal,match,no,The thinkable algorithm balances.
0/ 0/2,17,ZSN1LRTIA1N271CL,active,online,normal,mismatch,no,The sleep mattress signs.
0/ 0/2,18,LDUYWPMMMCFE45Y9,active,online,normal,match,no,The many duel decides.
0/ 0/3,0,E29Q4SMFFIHHA2EM,active,online,normal,mismatch,no,The daily ephyra radiates.
0/ 0/3,1,9QUEK442SC3M73ON,active,online,normal,mismatch,no,The disillusioned dose proofreads.
0/ 0/3,2,VMJN8H1US5662E0U,active,,,,yes,The squeamish mimosa tears.
0/ 0/3,3,6X4JY0991GS8IHRE,active,online,normal,mismatch,no,The boorish babe stitches.
0/ 0/3,4,6X4JY0991GS8IHRE,active,,,,yes,The rich sleuth unifies.
0/ 0/3,5,HEL1Y8OV84HJLX9R,active,,,,yes,The devilish homonym behaves.
0/ 0/3,6,GQ1PLEFE962XLQHA,active,offline,initial,initial,no,The sordid spaghetti applauds.
0/ 0/3,7,DD4OVMUSV5SVP51G,active,offline,initial,initial,no,The narrow notoriety stirs.
0/ 0/3,8,9863XZTTEP32NW0A,active,,,,yes,The organic threat battles.
