fsp,ont_id,sn,control_flag,run_state,config_state,match_state,protect_side,description
0/ 0/0,0,DMWPJ15Q6YNNYHG9,active,online,normal,mismatch,no,The parsimonious vaulting supposes.
0/ 0/1,0,XN5KXHXELDUJVSCV,active,-,-,-,yes,The aware abbreviation places.
0/ 0/1,1,U6A2MZ23KPXY1C7Y,active,online,normal,match,no,The thankful gun weds.
0/ 0/1,2,Y6QX0JR2U9BU7VZC,active,offline,initial,initial,no,The grouchy hallway rhymes.
0/ 0/1,3,XQD09X92A6C0MPXP,active,offline,initial,initial,no,The lyrical password leads.
0/ 0/1,4,W9TI7T60SMPZHK1B,active,online,normal,mismatch,no,The panoramic cirrhosis asks.
0/ 0/1,5,BXAEHQAI5DXYUS0Y,active,online,normal,mismatch,no,The tight stack guesses.
0/ 0/1,6,8V7476LM8CL3J9BK,active,-,-,-,yes,The blue avocado soaks.
0/ 0/1,7,735NQIPE7JPWP1XG,active,-,-,-,yes,The flipped-out trim manages.
0/ 0/1,8,9BKBVKDAFUW7GFZA,active,online,normal,match,no,The woebegone lecture tickles.
0/ 0/1,9,Q6J8LAFM8AY1MMEU,active,online,normal,match,no,The clumsy shortage guides.
0/ 0/1,10,OG9E6V5JPZMZZHZ4,active,online,normal,mismatch,no,The hurried convertible nails.
0/ 0/1,11,NWL3TXBWSHZNLWCN,active,online,normal,match,no,The rabid quartz examines.
0/ 0/1,12,I2AS1FV4GNH3YRBB,active,-,-,-,yes,The different drawbridge disproves.
0/ 0/1,13,3AF0SEZOIUJZQ1XR,active,offline,initial,initial,no,The piquant inhibitor squeals.
0/ 0/1,14,5OKCRI5YLVSISNWD,active,online,normal,mismatch,no,The quick sample orienteds.
0/ 0/1,15,KQP95DQRR80TIJNZ,active,offline,initial,initial,no,The plastic floor coaches.
0/ 0/1,16,ZMWITWME0G3CYFPG,active,offline,initial,initial,no,The halting conviction bathes.
0/ 0/1,17,7WP8OWQLKH9OP8L1,active,offline,initial,initial,no,The rhetorical reach participates.
0/ 0/1,18,LX4K1D37N42NNU65,active,-,-,-,yes,The delicious greed works.
0/ 0/1,19,HNH8WEQXGPI4IGRN,active,-,-,-,yes,The nondescript entity drums.
0/ 0/2,0,FZLGKWGHCXFAGWLH,active,online,normal,match,no,The harmonious blouse pays.
0/ 0/2,1,85YYDU4BGPBXJZJ5,active,online,normal,match,no,The available extremist ruins.
0/ 0/2,2,3MR73HUNC5KYF0OO,active,offline,initial,initial,no,The dispensable scallops decides.
0/ 0/2,3,JDSW86GJFSHK5102,active,-,-,-,yes,The jumpy loop utilizes.
0/ 0/2,4,G8CFBD8J6X3524UG,active,online,normal,mismatch,no,The homeless title strikes.
0/ 0/2,5,RTKN0BOEBTQGG2IN,active,offline,initial,initial,no,The abrasive denominator winks.
0/ 0/2,6,N6MRVZ1D5S5I86Q8,active,online,normal,mismatch,no,The bored lounge loves.
0/ 0/2,7,2TPQVW5A1PQEV2FK,active,offline,initial,initial,no,The ignorant eyebrows interests.
0/ 0/3,0,UZRT0VDSVW1RJBOT,active,offline,initial,initial,no,The light isogloss hates.
0/ 0/3,1,MR2TPH1MDQJ7R0M8,active,offline,initial,initial,no,The giddy fishmonger encourages.
0/ 0/4,0,OQT88GGO8XM4ELMZ,active,online,normal,mismatch,no,The greasy servitude forgives.
0/ 0/4,1,JLNHBLL9RWR5ZLH2,active,online,normal,match,no,The wakeful value hammers.
0/ 0/4,2,QTANQHKXBCLOYFLC,active,offline,initial,initial,no,The brainy bee drives.
0/ 0/4,3,EXH0GL76GFDBJMBY,active,online,normal,match,no,The snobbish lox tickles.
0/ 0/4,4,CYBEW85BFJ8Y2O98,active,offline,initial,initial,no,The redundant incompetence conceives.
0/ 0/4,5,MTYOC1C38WCIRLPW,active,-,-,-,yes,The lazy diaper appears.
0/ 0/4,6,CBHM5QTKC27Q6LJR,active,online,normal,mismatch,no,The icky trailer boxes.
0/ 0/4,7,T8YS74Z4PT9U4637,active,online,normal,mismatch,no,The ugliest viability pops.
0/ 0/4,8,SO86MPROG7IVRHA2,active,offline,initial,initial,no,The worried vibraphone supposes.
0/ 0/4,9,6SQFLYWRBL8XIEOW,active,-,-,-,yes,The spicy young burns.
0/ 0/4,10,EUVYZWRC3RYU0JVD,active,offline,initial,initial,no,The offbeat expansionism prays.
0/ 0/4,11,KE7T57J61KC4ON98,active,-,-,-,yes,The futuristic motorcar steps.
0/ 0/4,12,A076Q4ZRPGWI0DEJ,active,online,normal,match,no,The awful character rejects.
0/ 0/4,13,QEI0WOCWLH6NG6V2,active,online,normal,match,no,The cautious asphalt escapes.
0/ 0/4,14,O1X6FZS1BHOLO3L6,active,online,normal,mismatch,no,The alleged idiom stands.
0/ 0/4,15,FO1FZAQ4THGK3AMN,active,offline,initial,initial,no,The embarrassed piccolo drowns.
0/ 0/4,16,ICEH445O949XCSYE,active,-,-,-,yes,The racial widow relaxes.
0/ 0/4,17,FGAEUFJ5KEQDXX81,active,offline,initial,initial,no,The overrated purpose inspires.
0/ 0/4,18,U40T3XR4IQ4UFWX1,active,online,normal,mismatch,no,The didactic promotion laughs.
0/ 0/4,19,JJ4524NPQVL4CO46,active,offline,initial,initial,no,The curious harvest rides.
0/ 0/4,20,8WBFPU3HPSX29B3V,active,offline,initial,initial,no,The obnoxious screamer upsets.
0/ 0/4,21,OY27TXPA523FMMO2,active,online,normal,mismatch,no,The uttermost season feeds.
0/ 0/4,22,HJ7ECQHWEAIU9MGO,active,-,-,-,yes,The homeless milk loads.
0/ 0/4,23,ICAZRAHC3TVFKBTW,active,offline,initial,initial,no,The lacking chest misunderstands.
0/ 0/5,0,9YFZ31N691RB9YDM,active,-,-,-,yes,The quarrelsome province logs.
0/ 0/5,1,9A14OHGAU24Q9J7A,active,online,normal,mismatch,no,The godly fanny-pack upsets.
0/ 0/5,2,E3ASBDX3X7BPS36G,active,online,normal,mismatch,no,The scattered crab kepts.
0/ 0/5,3,HBKOJ58KIH91RNT1,active,offline,initial,initial,no,The flagrant earth mows.
0/ 0/5,4,913V2ON0LXN01CT7,active,-,-,-,yes,The sneaky title polishes.
0/ 0/5,5,NPKAAINYXLGLT2HX,active,online,normal,mismatch,no,The proud paragraph subtracts.
0/ 0/5,6,CYW9BQR3Y6VXWGIF,active,-,-,-,yes,The irate silo glues.
0/ 0/5,7,PWA5Y34W895KO4YA,active,-,-,-,yes,The majestic bonsai forecasts.
0/ 0/5,8,1JHEPGCF6LE59473,active,online,normal,match,no,The handsomely custody admits.
0/ 0/6,0,TJ58410BRZ79WMBU,active,online,normal,match,no,The exotic tamale finds.
0/ 0/6,1,QU6U1ZWXEWMYT303,active,offline,initial,initial,no,The different sponge verifies.
0/ 0/6,2,ITYEK7LZT2GO62DK,active,-,-,-,yes,The creepy expedition licenses.
0/ 0/6,3,H06DNJ7QLSYW7QKN,active,offline,initial,initial,no,The perfect airfield knocks.
0/ 0/6,4,7WL7BHIBXB9H1MVF,active,online,normal,mismatch,no,The wild color mourns.
0/ 0/6,5,J1BKWB6EJ8XGVSKW,active,online,normal,mismatch,no,The glib deposit stares.
0/ 0/6,6,YFFUURIOJNE6HJ5D,active,online,normal,match,no,The disillusioned tuna files.
0/ 0/6,7,1C31FM4I9KDMXIJI,active,online,normal,mismatch,no,The unadvised usher facilitates.
0/ 0/8,0,AFNPSZFL5WTTXTGF,active,online,normal,mismatch,no,The funny chrome enhances.
0/ 0/8,1,3SW3TGCXMWPWI5TL,active,online,normal,mismatch,no,The verdant apprehension slows.
