fsp,ont_id,sn,control_flag,run_state,config_state,match_state,protect_side,description
0/ 0/0,0,139U9EK3V352CPOP,active,online,normal,match,no,The abundant washtub interferes.
0/ 0/0,1,8KT78N8VUSQGS6L7,active,offline,initial,initial,no,The highfalutin chess misleads.
0/ 0/0,2,Z3IRNP5YSKJ1LC2V,active,offline,initial,initial,no,The redundant gel restoreds.
0/ 0/0,3,2H97GBARMZZRJJSY,active,-,-,-,yes,The standing place arises.
0/ 0/0,4,3K71V9LS4UE0FF5I,active,online,normal,match,no,The black divide confuses.
0/ 0/0,5,VVS9FZSS5QE9P8BF,active,offline,initial,initial,no,The grandiose bookend mates.
0/ 0/0,6,HR1R25CGLIG35DN5,active,online,normal,match,no,The vague herb lights.
0/ 0/1,0,1ERIUCIV8L7Y41IM,active,-,-,-,yes,The quarrelsome TV sails.
0/ 0/1,1,X9FY7CHI6J3L8L42,active,online,normal,mismatch,no,The sincere blood attracts.
0/ 0/1,2,55VIQG2TG81V81BF,active,-,-,-,yes,The adorable present sets.
0/ 0/1,3,KMDOEZ3TLB4QSFS9,active,online,normal,match,no,The ahead fate blinds.
0/ 0/1,4,WQMQUG7VYP931MDG,active,offline,initial,initial,no,The nostalgic rubbish symbolizes.
0/ 0/1,5,RCB86BTAS40D2ZWN,active,online,normal,mismatch,no,The toothsome jiffy composes.
0/ 0/1,6,U8WQ0MI9MM6TRGHD,active,offline,initial,initial,no,The square motorboat tabulates.
0/ 0/1,7,5Q757TDGCE4XQNUX,active,offline,initial,initial,no,
0/ 0/1,8,P4D9O95EOPLSEJ5I,active,offline,initial,initial,no,
0/ 0/1,9,6DT0ETRAYQT69K4U,active,online,normal,match,no,The abnormal fiery monitors.
0/ 0/1,10,TF2VIC8Z8TMMOSA6,active,online,normal,match,no,The earsplitting sleepiness invents.
0/ 0/1,11,KJCTVK8O871G6OJU,active,offline,initial,initial,no,The elderly settler destroys.
0/ 0/1,12,L7QVUKPDHM0MHBI8,active,-,-,-,yes,The pastoral dust storm fancies.
0/ 0/1,13,H15EI4TRBK21GLZN,active,online,normal,mismatch,no,The clever decoder selects.
0/ 0/1,14,P01FDYEUTBT1HLIU,active,online,normal,match,no,The finicky woodland reigns.
0/ 0/1,15,IFK6KL4FJ7FTDQTZ,active,-,-,-,yes,The ethereal imitation terrifies.
0/ 0/1,16,EPD4PWJGAFEOK6NS,active,online,normal,mismatch,no,The deeply baseline troubles.
0/ 0/1,17,G67V9FJAMY0KEPCX,active,online,normal,mismatch,no,The old exhaustion fries.
0/ 0/2,0,97MC05X0KQVDMHZV,active,-,-,-,yes,The rough certification colors.
0/ 0/2,1,ZKOQ0F4SR0D6NBCQ,active,online,normal,match,no,The amused softball nests.
0/ 0/2,2,5YI89UIL3YGBRCUI,active,online,normal,match,no,The flat pomelo dries.
0/ 0/2,3,8LOIHGBM1M7L0V07,active,offline,initial,initial,no,The giddy revenue expects.
0/ 0/2,4,K7WLGM167WL4FV4F,active,online,normal,mismatch,no,The late leopard avoids.
0/ 0/2,5,AEALI9TPL387EU1V,active,online,normal,mismatch,no,The political variant crushes.
0/ 0/2,6,2MPV2KSBWH4VLRR2,active,-,-,-,yes,The oceanic pawnshop reflects.
0/ 0/2,7,04VY087LGCJARKG2,active,-,-,-,yes,The important optimisation exhibits.
0/ 0/2,8,A8QLFE7N5LG01X69,active,online,normal,mismatch,no,The grandiose dude verbalizes.
0/ 0/2,9,PDMJO4K0CJPIBEB3,active,-,-,-,yes,The dapper outrage interests.
0/ 0/2,10,126PMG045XP5ZU4D,active,-,-,-,yes,The quaint compromise proposes.
0/ 0/2,11,T8976IVZYO5JVUN4,active,-,-,-,yes,The shaky hugger drafts.
0/ 0/2,12,KVKZ83Y65VMZKU58,active,online,normal,mismatch,no,The plausible prostacyclin stuffs.
0/ 0/3,0,VOQ75DJN2VACLVEM,active,online,normal,match,no,The tenuous shield grabs.
0/ 0/3,1,INIIC34S91TLTQNF,active,offline,initial,initial,no,The thundering region occurs.
0/ 0/3,2,A87TL32L3HN0Q6DI,active,offline,initial,initial,no,The homely working overdraws.
0/ 0/3,3,4CV69IDRZAHYEW3T,active,online,normal,match,no,The aggressive stove addresses.
0/ 0/3,4,FLH5K8IPOOI7PGS0,active,online,normal,mismatch,no,The disgusted quota tricks.
0/ 0/3,5,WGY7Z09E2Z6R3NPU,active,offline,initial,initial,no,The efficacious hybridisation directs.
0/ 0/3,6,532Q1IF9FJ6ZIVF7,active,online,normal,match,no,The magenta hive borrows.
0/ 0/3,7,4Q3N6VO49MR84PDM,active,-,-,-,yes,The towering switch fights.
0/ 0/4,0,MYOE3HB6351CIDBS,active,-,-,-,yes,The raspy jellyfish increases.
0/ 0/4,1,QKJ837TO0R62D1CD,active,offline,initial,initial,no,The grotesque dungeon slinks.
0/ 0/4,2,TJA4AQW220GSC00P,active,offline,initial,initial,no,The delightful footstep overdos.
0/ 0/4,3,Q6RS70JIR5NPYFW5,active,online,normal,match,no,The bloody path films.
0/ 0/4,4,XAHYCN9QFEE6UFV5,active,-,-,-,yes,The gabby offering withholds.
0/ 0/4,5,HYI2YYUMURAB23FN,active,offline,initial,initial,no,The unequaled pig kneels.
0/ 0/4,6,WYIHHJWCOJWNJBRM,active,offline,initial,initial,no,The outrageous distinction swells.
0/ 0/4,7,MMRORW2XF25L8K2W,active,-,-,-,yes,The illegal shoes bumps.
0/ 0/4,8,926QEOS11RVBSVLK,active,-,-,-,yes,The crooked timbale harasses.
0/ 0/4,9,IBN136DG1JVNGL3O,active,-,-,-,yes,The panoramic dishwasher doubts.
0/ 0/4,10,S3SXSZH2LMOX0KPD,active,online,normal,match,no,The roasted stability blows.
0/ 0/4,11,2YCOVLA56B04KO87,active,online,normal,match,no,The testy kitten praiseds.
0/ 0/4,12,MK8NO0PR77Q2YYNB,active,offline,initial,initial,no,The deranged banjo rides.
0/ 0/5,0,APXRLZZQF6QKGVFT,active,online,normal,match,no,The frightened vanilla overflows.
0/ 0/5,1,U649PQE72ZN49IBF,active,online,normal,match,no,The impossible oatmeal overdos.
0/ 0/5,2,0QE1QJG135MFTBOC,active,offline,initial,initial,no,The rhetorical forelimb radiates.
0/ 0/5,3,KADKDP4OQPJUWUAX,active,offline,initial,initial,no,The massive ambiguity decides.
0/ 0/5,4,WRHBMD4P02TSS9C7,active,-,-,-,yes,The famous patriarch loves.
0/ 0/5,5,5Q6YGWVTPGE60BD8,active,online,normal,mismatch,no,The statuesque screwdriver fills.
