fsp,ont_id,sn,control_flag,run_state,config_state,match_state,protect_side,description
0/ 0/0,0,5ITII0P8PMI4U8N7,active,online,normal,match,no,The uninterested tip justifies.
0/ 0/0,1,AO3ZDVK9F9UQLD72,active,online,normal,mismatch,no,The impossible wood needs.
0/ 0/0,2,0ICOY1G3VU5CB977,active,-,-,-,yes,The ratty petition floats.
0/ 0/0,3,5IN2GMFSYLGFN853,active,online,normal,match,no,The obnoxious task proves.
0/ 0/0,4,251ETLE0JAQ5JXP4,active,offline,initial,initial,no,The dead zephyr haunts.
0/ 0/0,5,NTVDVCXKZ5YK24Y2,active,offline,initial,initial,no,The damaging decoder decides.
0/ 0/0,6,WTQPS4FF8UD2RI0C,active,-,-,-,yes,The goofy pumpkin leaps.
0/ 0/0,7,V4Y628G2PDTIHGT7,active,online,normal,match,no,The voiceless democrat conceptualizes.
0/ 0/0,8,6QG4AY1D7YB1Y4TC,active,-,-,-,yes,The recondite flume imagines.
0/ 0/0,9,IPY0LIMQTW5H1273,active,-,-,-,yes,The skinny compulsion schedules.
0/ 0/0,10,6N2JIOCRIXGUVH0E,active,online,normal,mismatch,no,The dispensable fondue sneezes.
0/ 0/0,11,BM2BBL0YLKD4ZUYE,active,online,normal,match,no,The alive being sings.
0/ 0/0,12,P3WQZWFAQHSKPDEC,active,offline,initial,initial,no,The instinctive athletics causes.
0/ 0/0,13,VPFAZFABC20LYB49,active,offline,initial,initial,no,The amuck pier questions.
0/ 0/0,14,TJ4GHY70AH4Y9HT3,active,-,-,-,yes,The afraid chip knocks.
0/ 0/1,0,Y4NWXCAL6HCMB5UX,active,-,-,-,yes,The tasty conduct concludes.
0/ 0/1,1,YC91BYQ0T724PRHT,active,-,-,-,yes,The adhesive facet establishes.
0/ 0/1,2,W27OHTVPSMWFWT9X,active,online,normal,mismatch,no,The abundant prize sews.
0/ 0/1,3,LUDEJNHNW6MUYTOS,active,online,normal,mismatch,no,The understood blight faxes.
0/ 0/1,4,ESDYF7T66KPPWHUA,active,online,normal,match,no,The erratic inventory answers.
0/ 0/1,5,NSWFGSSXJGDKXYBL,active,online,normal,mismatch,no,The innate shampoo observes.
0/ 0/1,6,X2RCGEIVZN3MXBGQ,active,online,normal,mismatch,no,The trashy inventor interlays.
0/ 0/1,7,VM4UR91J4V37PDBP,active,online,normal,mismatch,no,The ancient drum strides.
0/ 0/1,8,MLBUKKCP3PNK6VHC,active,online,normal,match,no,The sulky daikon counsels.
0/ 0/2,0,GCO1VNE2YNPR7R1B,active,online,normal,match,no,The good trail breaks.
0/ 0/2,1,GQVIRJ7DKMSK30UM,active,online,normal,match,no,The fine wrong competes.
0/ 0/2,2,MOG4KPKO48NZCQ0V,active,offline,initial,initial,no,The accurate historian purchases.
0/ 0/2,3,VSBDVR6WB40FVVJT,active,online,normal,match,no,The scintillating sculpture pecks.
0/ 0/2,4,Q3W0C09H8EODGRXP,active,offline,initial,initial,no,The aquatic visor conducts.
0/ 0/2,5,0XN461MHVE2TINRK,active,online,normal,match,no,The tight bibliography remains.
0/ 0/2,6,4PR63KQZ1T5IG3E3,active,offline,initial,initial,no,The empty lieu permits.
0/ 0/2,7,LK46CT9KUG41UMN6,active,online,normal,match,no,The dead infix achieves.
0/ 0/2,8,DK8QGQ6BWEAIIAMS,active,online,normal,mismatch,no,The troubled brocolli adapts.
0/ 0/2,9,390Q1BIINGNHWJUV,active,online,normal,match,no,The detailed sonnet supports.
0/ 0/2,10,GW0NWM66RGMIYZM5,active,offline,initial,initial,no,The little bail decides.
0/ 0/2,11,B344W8GPTLKSP41A,active,offline,initial,initial,no,The gamy rehospitalisation rejoices.
0/ 0/2,12,ZSL5A6UI1XHQZN77,active,-,-,-,yes,The abiding tender clothes.
0/ 0/2,13,8RNF3FEW1IH9MNCG,active,offline,initial,initial,no,The crazy closing arranges.
0/ 0/2,14,6D5QYKMF6H1JLF7R,active,online,normal,match,no,The parched veterinarian crawls.
0/ 0/2,15,GZBL9YLPIQ2LEY2Y,active,online,normal,match,no,The important snap grips.
0/ 0/2,16,ZOMC2LT668X29VLS,active,-,-,-,yes,The husky in-laws shocks.
0/ 0/2,17,YRWYN733CCQIS8LU,active,online,normal,match,no,The purple swimming contracts.
0/ 0/2,18,MZBT2JHUMSI453U8,active,online,normal,mismatch,no,The breezy revascularization battles.
0/ 0/2,19,01SD7XFFI6Y8Q4OM,active,online,normal,mismatch,no,The splendid aglet senses.
0/ 0/2,20,NVFBTBCHACUCW4NO,active,online,normal,mismatch,no,The careful tactile runs.
0/ 0/2,21,EEJABI2N44ME7A46,active,offline,initial,initial,no,The fluffy impudence retrieves.
