_,Starting chaos monkey,2024-11-07 13:31:23_867
site_4,Changing state of ntp6 from site_4,2024-11-07 13:31:25_472
site_1,Changing snmp profile for 72SD9F2T0RZ400AK from site_1,2024-11-07 13:31:27_415
site_1,Unregistering 41LQF3Y32EW7JW1E from site_1,2024-11-07 13:31:30_277
site_3,Changing c vlan for Q7NXBMSU01KBW3JS from site_3,2024-11-07 13:31:33_073
site_7,Changing c vlan for R17W7TELMHSMJUFT from site_7,2024-11-07 13:31:37_018
site_4,Changing c vlan for XRTUB87HZOQB2TD5 from site_4,2024-11-07 13:31:38_621
site_2,Changing s vlan for EVJCGOKASVBO85S7 from site_2,2024-11-07 13:31:39_642
site_3,Changing s vlan for PIRCAAETV6KZSR9R from site_3,2024-11-07 13:31:44_880
site_7,Changing snmp profile for DNZ50PXV88Q7UNA2 from site_7,2024-11-07 13:31:48_894
site_7,Changing snmp profile for YN5SQ2AXPDO92F6E from site_7,2024-11-07 13:31:51_738
site_4,Changing c vlan for JICDZRAF72U9MZOB from site_4,2024-11-07 13:31:58_085
site_1,Changing gemport for 0BA8DSHOJRTAELSF from site_1,2024-11-07 13:32:02_538
site_3,Unregistering 82Z6FQO2RJFGZIGM from site_3,2024-11-07 13:32:05_188
site_6,Changing c vlan for CNTT208G2DNU5FGI from site_6,2024-11-07 13:32:10_009
site_5,Changing state of ntp6 from site_5,2024-11-07 13:32:10_385
site_7,Unregistering XBHRLS2QBE024EMT from site_7,2024-11-07 13:32:13_542
site_6,Changing s vlan for 9MHD1Y0DDAEU59FH from site_6,2024-11-07 13:32:15_158
site_1,Changing state of ssh from site_1,2024-11-07 13:32:20_230
site_3,Changing vlan type for CDTA129BFJI4ZO04 from site_3,2024-11-07 13:32:21_125
site_4,Changing vlan type for UOAC0M3EXM32RIFW from site_4,2024-11-07 13:32:21_549
site_3,Changing vlan type for ZD98BY29VUQO6VTN from site_3,2024-11-07 13:32:22_485
site_5,Changing vlan type for Q1NYYSWIT0HLH6S7 from site_5,2024-11-07 13:32:24_947
site_1,Changing s vlan for UOAC0M3EXM32RIFW from site_1,2024-11-07 13:32:35_379
site_6,Changing state of trace from site_6,2024-11-07 13:32:39_791
