_,Starting chaos monkey,2024-11-07 09:57:30_057
site_2,Changing state of ssh from site_2,2024-11-07 09:57:32_092
site_3,Changing gemport for 97F6IGWWO077N4B5 from site_3,2024-11-07 09:57:35_976
site_4,Unregistering 2Y2FYT4UD6OSSCWJ from site_4,2024-11-07 09:57:43_690
site_7,Changing vlan type for AJ57MVMJ0LCOUNT8 from site_7,2024-11-07 09:57:47_889
site_3,Changing state of netconf from site_3,2024-11-07 09:57:51_564
site_3,Changing snmp profile for CGEW2DOQYGUKGR3S from site_3,2024-11-07 09:57:53_577
site_7,Changing state of snmpv6 from site_7,2024-11-07 09:57:58_237
site_7,Changing c vlan for CC37AG5XN1VLWYST from site_7,2024-11-07 09:57:58_908
site_3,Changing vlan type for 97F6IGWWO077N4B5 from site_3,2024-11-07 09:58:00_407
site_5,Changing s vlan for YN5SQ2AXPDO92F6E from site_5,2024-11-07 09:58:00_592
site_2,Changing c vlan for A2F9MMA2C226PNUX from site_2,2024-11-07 09:58:02_325
site_5,Changing snmp profile for PMDQG2N9HVR3DORQ from site_5,2024-11-07 09:58:04_215
site_7,Changing gemport for WQTLUF0K8JCZ3W4O from site_7,2024-11-07 09:58:16_621
site_2,Changing gemport for E2S7R6EO7L5G2H9T from site_2,2024-11-07 09:58:20_585
site_5,Changing gemport for WQTLUF0K8JCZ3W4O from site_5,2024-11-07 09:58:21_900
site_2,Changing snmp profile for 0076KR8S77FO53P5 from site_2,2024-11-07 09:58:22_972
site_7,Changing state of snmp from site_7,2024-11-07 09:58:24_184
site_6,Changing gemport for 3EW0CWX46TAPWDZ3 from site_6,2024-11-07 09:58:29_148
site_7,Unregistering ME5GAVCLWZZ8DD09 from site_7,2024-11-07 09:58:33_895
site_7,Changing vlan type for HDD7216U0MFKYXVJ from site_7,2024-11-07 09:58:37_549
site_7,Unregistering 82Z6FQO2RJFGZIGM from site_7,2024-11-07 09:58:40_814
site_5,Changing gemport for 6GXYS78A4UWT7VT1 from site_5,2024-11-07 09:58:42_161
site_3,Unregistering RBQQLRUTJ1SV96ZX from site_3,2024-11-07 09:58:46_733
site_6,Unregistering M4H0CPROCAB15QX6 from site_6,2024-11-07 09:58:49_449
site_2,Changing c vlan for 6GXYS78A4UWT7VT1 from site_2,2024-11-07 09:58:49_740
site_4,Changing s vlan for DNZ50PXV88Q7UNA2 from site_4,2024-11-07 09:58:52_717
site_1,Unregistering WQTLUF0K8JCZ3W4O from site_1,2024-11-07 09:58:54_436
site_5,Changing snmp profile for 8E913U7XCVXNUIQJ from site_5,2024-11-07 09:59:01_032
site_5,Changing snmp profile for GS2FSDE95YY3I2EQ from site_5,2024-11-07 09:59:03_793
site_7,Changing vlan type for XBHRLS2QBE024EMT from site_7,2024-11-07 09:59:21_947
site_1,Changing s vlan for CDTA129BFJI4ZO04 from site_1,2024-11-07 09:59:25_061
site_2,Changing gemport for GS2FSDE95YY3I2EQ from site_2,2024-11-07 09:59:26_372
site_7,Changing state of dhcpv6-relay from site_7,2024-11-07 09:59:28_009
site_4,Changing vlan type for WVOY1VTBNO5NHFCS from site_4,2024-11-07 09:59:30_040
site_4,Unregistering 8E913U7XCVXNUIQJ from site_4,2024-11-07 09:59:47_250
site_6,Changing vlan type for XRTUB87HZOQB2TD5 from site_6,2024-11-07 09:59:49_454
site_3,Changing s vlan for 6EPS6K6TM8X32S6B from site_3,2024-11-07 09:59:50_774
site_5,Changing vlan type for GVXMEDXDW2E5ZNYP from site_5,2024-11-07 09:59:54_472
site_6,Changing c vlan for PKT83MZBCW9PBUJB from site_6,2024-11-07 09:59:58_624
site_7,Changing vlan type for 2WMGR015ZSEQRWQ4 from site_7,2024-11-07 09:59:59_022
site_1,Changing vlan type for 6I8JLLOR4RORCOWB from site_1,2024-11-07 10:00:00_442
site_7,Changing s vlan for YN5SQ2AXPDO92F6E from site_7,2024-11-07 10:00:01_879
site_5,Changing gemport for GS2FSDE95YY3I2EQ from site_5,2024-11-07 10:00:10_768
site_5,Changing state of dhcp-relay from site_5,2024-11-07 10:00:12_900
site_6,Changing c vlan for 82Z6FQO2RJFGZIGM from site_6,2024-11-07 10:00:14_468
site_5,Changing state of ntp from site_5,2024-11-07 10:00:18_628
site_6,Changing state of mqtt from site_6,2024-11-07 10:00:19_493
site_6,Changing gemport for PXUZ4FEV3HNWIA2I from site_6,2024-11-07 10:00:21_920
site_3,Changing vlan type for 0BA8DSHOJRTAELSF from site_3,2024-11-07 10:00:26_280
site_5,Unregistering 4XUBU9IGL94A1C5H from site_5,2024-11-07 10:00:29_926
site_3,Changing vlan type for 0076KR8S77FO53P5 from site_3,2024-11-07 10:00:32_025
site_6,Unregistering LT2EGU9PIFZU91YL from site_6,2024-11-07 10:00:39_897
site_1,Changing s vlan for STXLDI35LJ29FMEI from site_1,2024-11-07 10:00:45_754
site_6,Changing s vlan for 94ID05IH7SCWT0SW from site_6,2024-11-07 10:00:52_455
site_1,Changing gemport for R17W7TELMHSMJUFT from site_1,2024-11-07 10:00:54_093
site_3,Unregistering W9DRQARTHT44P08K from site_3,2024-11-07 10:00:57_051
site_7,Changing snmp profile for WVOY1VTBNO5NHFCS from site_7,2024-11-07 10:01:02_376
site_7,Changing s vlan for PXUZ4FEV3HNWIA2I from site_7,2024-11-07 10:01:04_910
site_4,Changing s vlan for 9MHD1Y0DDAEU59FH from site_4,2024-11-07 10:01:06_354
site_6,Changing c vlan for AJ57MVMJ0LCOUNT8 from site_6,2024-11-07 10:01:12_462
site_5,Changing s vlan for WVOY1VTBNO5NHFCS from site_5,2024-11-07 10:01:14_673
site_6,Changing state of trace from site_6,2024-11-07 10:01:15_012
site_7,Unregistering STXLDI35LJ29FMEI from site_7,2024-11-07 10:01:18_525
site_5,Changing vlan type for MZ5HG4HN6K5EM5WM from site_5,2024-11-07 10:01:21_315
site_3,Changing snmp profile for YN5SQ2AXPDO92F6E from site_3,2024-11-07 10:01:22_778
site_2,Changing s vlan for 41LQF3Y32EW7JW1E from site_2,2024-11-07 10:01:23_004
site_3,Changing gemport for CDTA129BFJI4ZO04 from site_3,2024-11-07 10:01:26_527
site_2,Unregistering S9QGGZOCYEFMLWHS from site_2,2024-11-07 10:01:31_896
site_4,Unregistering 4VZPOFTH7T9K2Q6N from site_4,2024-11-07 10:01:32_994
site_1,Changing c vlan for P3D20LT6DTV7R1RS from site_1,2024-11-07 10:01:37_011
site_2,Changing s vlan for W9DRQARTHT44P08K from site_2,2024-11-07 10:01:40_435
site_3,Changing gemport for 94ID05IH7SCWT0SW from site_3,2024-11-07 10:01:48_511
site_1,Changing snmp profile for 8E913U7XCVXNUIQJ from site_1,2024-11-07 10:01:49_554
site_4,Changing state of ntp from site_4,2024-11-07 10:01:51_490
site_1,Changing vlan type for CDTA129BFJI4ZO04 from site_1,2024-11-07 10:01:56_024
site_3,Changing c vlan for YN5SQ2AXPDO92F6E from site_3,2024-11-07 10:01:58_753
site_7,Changing state of sshv6 from site_7,2024-11-07 10:02:00_030
site_5,Unregistering TGSAF79UU3LX36R0 from site_5,2024-11-07 10:02:10_386
site_2,Unregistering CGEW2DOQYGUKGR3S from site_2,2024-11-07 10:02:14_625
site_2,Changing c vlan for DB2DFWDL1CDZZOF0 from site_2,2024-11-07 10:02:23_586
site_3,Changing snmp profile for 82Z6FQO2RJFGZIGM from site_3,2024-11-07 10:02:25_731
site_5,Changing state of ssh from site_5,2024-11-07 10:02:28_490
site_2,Changing state of sshv6 from site_2,2024-11-07 10:02:31_866
site_2,Changing s vlan for P5MLUDBTRDZTOQ54 from site_2,2024-11-07 10:02:34_234
site_5,Changing gemport for ZKH169X3YHXFGRSG from site_5,2024-11-07 10:02:37_450
site_1,Changing gemport for CC37AG5XN1VLWYST from site_1,2024-11-07 10:02:42_231
site_6,Changing gemport for 94ID05IH7SCWT0SW from site_6,2024-11-07 10:02:44_639
site_2,Changing state of ipdr from site_2,2024-11-07 10:02:44_802
site_7,Changing gemport for 2WMGR015ZSEQRWQ4 from site_7,2024-11-07 10:02:47_532
site_2,Changing c vlan for 0WZBISL40HIMAI3C from site_2,2024-11-07 10:02:52_550
site_5,Changing s vlan for W9DRQARTHT44P08K from site_5,2024-11-07 10:02:54_835
site_5,Changing c vlan for TZYLQST2LFN7A7IG from site_5,2024-11-07 10:02:57_274
site_5,Changing gemport for S9QGGZOCYEFMLWHS from site_5,2024-11-07 10:02:57_535
site_6,Changing c vlan for 5NTA3OQAOLIYYOQU from site_6,2024-11-07 10:03:00_675
site_6,Changing gemport for XBHRLS2QBE024EMT from site_6,2024-11-07 10:03:05_751
site_7,Unregistering 0FLW1HTQA4EC2ZEV from site_7,2024-11-07 10:03:06_512
site_3,Changing snmp profile for P3D20LT6DTV7R1RS from site_3,2024-11-07 10:03:08_159
site_7,Changing s vlan for FR8I24HB0WB7T468 from site_7,2024-11-07 10:03:11_623
site_3,Changing gemport for 4VZPOFTH7T9K2Q6N from site_3,2024-11-07 10:03:12_636
site_4,Unregistering Q1NYYSWIT0HLH6S7 from site_4,2024-11-07 10:03:14_097
site_5,Changing state of netconf from site_5,2024-11-07 10:03:24_042
site_6,Changing state of twamp from site_6,2024-11-07 10:03:25_700
site_4,Changing c vlan for 97F6IGWWO077N4B5 from site_4,2024-11-07 10:03:28_080
site_2,Changing c vlan for 3EW0CWX46TAPWDZ3 from site_2,2024-11-07 10:03:31_522
site_1,Changing c vlan for Q1NYYSWIT0HLH6S7 from site_1,2024-11-07 10:03:31_817
site_7,Changing vlan type for 6I8JLLOR4RORCOWB from site_7,2024-11-07 10:03:33_546
site_7,Changing vlan type for 6342QJX1G8BK3CXO from site_7,2024-11-07 10:03:33_816
site_6,Changing s vlan for JICDZRAF72U9MZOB from site_6,2024-11-07 10:03:35_833
site_6,Changing gemport for E2S7R6EO7L5G2H9T from site_6,2024-11-07 10:03:36_903
site_4,Changing vlan type for E2S7R6EO7L5G2H9T from site_4,2024-11-07 10:03:45_400
site_2,Changing vlan type for ZK0MG8FQWMPKCZNI from site_2,2024-11-07 10:03:46_256
site_4,Changing vlan type for M4H0CPROCAB15QX6 from site_4,2024-11-07 10:03:47_311
site_1,Unregistering LT2EGU9PIFZU91YL from site_1,2024-11-07 10:03:51_364
site_7,Changing state of telnet from site_7,2024-11-07 10:03:53_132
site_3,Changing gemport for DB2DFWDL1CDZZOF0 from site_3,2024-11-07 10:03:54_996
site_1,Unregistering 94ID05IH7SCWT0SW from site_1,2024-11-07 10:03:56_962
site_4,Changing snmp profile for QRJP94RG06U8UWSC from site_4,2024-11-07 10:03:58_856
site_4,Changing s vlan for TGSAF79UU3LX36R0 from site_4,2024-11-07 10:04:11_143
site_1,Changing snmp profile for 4XUBU9IGL94A1C5H from site_1,2024-11-07 10:04:16_980
site_3,Changing vlan type for 6I8JLLOR4RORCOWB from site_3,2024-11-07 10:04:17_388
site_3,Changing gemport for A2F9MMA2C226PNUX from site_3,2024-11-07 10:04:17_744
site_1,Changing snmp profile for RBQQLRUTJ1SV96ZX from site_1,2024-11-07 10:04:21_219
site_2,Changing snmp profile for TZYLQST2LFN7A7IG from site_2,2024-11-07 10:04:22_552
site_7,Changing state of snmpv6 from site_7,2024-11-07 10:04:28_766
site_3,Changing s vlan for CGEW2DOQYGUKGR3S from site_3,2024-11-07 10:04:29_477
site_2,Changing snmp profile for 9MHD1Y0DDAEU59FH from site_2,2024-11-07 10:04:31_028
site_3,Changing gemport for M4H0CPROCAB15QX6 from site_3,2024-11-07 10:04:35_857
site_6,Changing gemport for FR8I24HB0WB7T468 from site_6,2024-11-07 10:04:36_173
site_1,Changing c vlan for ZK0MG8FQWMPKCZNI from site_1,2024-11-07 10:04:38_588
site_7,Changing gemport for 41LQF3Y32EW7JW1E from site_7,2024-11-07 10:04:42_022
site_5,Changing s vlan for 9MHD1Y0DDAEU59FH from site_5,2024-11-07 10:04:45_738
site_1,Changing gemport for YN5SQ2AXPDO92F6E from site_1,2024-11-07 10:04:55_302
site_7,Unregistering PIRCAAETV6KZSR9R from site_7,2024-11-07 10:05:02_249
site_4,Changing snmp profile for ZK0MG8FQWMPKCZNI from site_4,2024-11-07 10:05:04_608
site_3,Changing snmp profile for 15FOFS277V2PN76Z from site_3,2024-11-07 10:05:06_827
site_6,Changing c vlan for CC37AG5XN1VLWYST from site_6,2024-11-07 10:05:13_854
site_5,Changing state of ntp6 from site_5,2024-11-07 10:05:17_592
site_6,Changing vlan type for QRJP94RG06U8UWSC from site_6,2024-11-07 10:05:18_439
site_2,Changing snmp profile for UOAC0M3EXM32RIFW from site_2,2024-11-07 10:05:20_534
site_6,Changing state of telnetv6 from site_6,2024-11-07 10:05:29_058
site_7,Unregistering XRTUB87HZOQB2TD5 from site_7,2024-11-07 10:05:34_146
site_1,Changing snmp profile for GS2FSDE95YY3I2EQ from site_1,2024-11-07 10:05:35_330
site_2,Changing c vlan for PMDQG2N9HVR3DORQ from site_2,2024-11-07 10:05:37_175
site_4,Changing c vlan for UOAC0M3EXM32RIFW from site_4,2024-11-07 10:05:37_400
site_5,Changing gemport for 4XUBU9IGL94A1C5H from site_5,2024-11-07 10:05:39_940
site_3,Unregistering E2S7R6EO7L5G2H9T from site_3,2024-11-07 10:05:42_171
site_4,Changing s vlan for YN5SQ2AXPDO92F6E from site_4,2024-11-07 10:05:45_256
site_6,Unregistering 0076KR8S77FO53P5 from site_6,2024-11-07 10:05:48_767
site_4,Unregistering TZYLQST2LFN7A7IG from site_4,2024-11-07 10:05:51_490
site_2,Changing c vlan for GVXMEDXDW2E5ZNYP from site_2,2024-11-07 10:05:54_185
site_7,Unregistering 4XUBU9IGL94A1C5H from site_7,2024-11-07 10:06:02_165
site_5,Unregistering AJ57MVMJ0LCOUNT8 from site_5,2024-11-07 10:06:04_351
site_2,Changing s vlan for AJ57MVMJ0LCOUNT8 from site_2,2024-11-07 10:06:06_449
site_1,Changing c vlan for WEDLT70M7OZIMZV5 from site_1,2024-11-07 10:06:09_083
site_4,Changing c vlan for L1G2ITV851O5KXWI from site_4,2024-11-07 10:06:13_262
site_2,Changing s vlan for EVJCGOKASVBO85S7 from site_2,2024-11-07 10:06:18_598
site_3,Changing c vlan for 3EW0CWX46TAPWDZ3 from site_3,2024-11-07 10:06:20_082
site_7,Changing s vlan for WQTLUF0K8JCZ3W4O from site_7,2024-11-07 10:06:28_016
site_7,Changing vlan type for TGSAF79UU3LX36R0 from site_7,2024-11-07 10:06:28_760
site_2,Unregistering PMDQG2N9HVR3DORQ from site_2,2024-11-07 10:06:30_930
site_1,Changing snmp profile for WFTK2XMFVVK032SA from site_1,2024-11-07 10:06:39_274
site_6,Changing c vlan for ZKH169X3YHXFGRSG from site_6,2024-11-07 10:06:43_755
site_1,Changing s vlan for ME5GAVCLWZZ8DD09 from site_1,2024-11-07 10:06:43_893
site_3,Changing gemport for WQTLUF0K8JCZ3W4O from site_3,2024-11-07 10:06:51_137
site_6,Changing state of snmpv6 from site_6,2024-11-07 10:06:52_255
site_3,Changing state of snmp from site_3,2024-11-07 10:06:52_664
